Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Environmental design,Architecture,228,65,53,3.50 - 3.82,3.49 - 3.87,29%,82%,
Architecture,College Of Environmental design,Landscape architecture,23,5,5,3.36 - 3.84,3.36 - 3.84,22%,100%,
Architecture,College Of Environmental design,Sustainable environmental design,32,3,3,masked,masked,9%,100%,
Arts & Humanities,College Of Letters & science,Art,204,75,37,3.52 - 3.92,3.48 - 3.86,37%,49%,
Arts & Humanities,College Of Letters & science,Chinese language & literature,105,19,8,3.74 - 3.97,3.62 - 3.81,18%,42%,
Arts & Humanities,College Of Letters & science,Comparative literature,54,23,16,3.49 - 3.87,3.46 - 3.90,43%,70%,
Arts & Humanities,College Of Letters & science,Dance & performance studies,26,9,3,3.19 - 3.82,masked,35%,33%,
Arts & Humanities,College Of Letters & science,"East asian religion, thought, and culture",70,22,13,3.58 - 3.90,3.73 - 3.90,31%,59%,
Arts & Humanities,College Of Letters & science,English,529,220,122,3.61 - 3.93,3.56 - 3.90,42%,55%,
Arts & Humanities,College Of Letters & science,Film,306,91,37,3.60 - 3.92,3.70 - 3.88,30%,41%,
Arts & Humanities,College Of Letters & science,French,25,9,4,3.10 - 3.58,masked,36%,44%,
Arts & Humanities,College Of Letters & science,History,367,109,50,3.75 - 4.00,3.73 - 4.00,30%,46%,
Arts & Humanities,College Of Letters & science,History of art,95,40,20,3.49 - 3.91,3.26 - 3.85,42%,50%,
Arts & Humanities,College Of Letters & science,Japanese language & literature,80,37,19,3.45 - 3.85,3.37 - 3.84,46%,51%,
Arts & Humanities,College Of Letters & science,Linguistics,156,24,14,3.72 - 3.92,3.74 - 3.91,15%,58%,
Arts & Humanities,College Of Letters & science,Music,60,14,8,3.55 - 3.84,3.41 - 3.78,23%,57%,
Arts & Humanities,College Of Letters & science,Philosophy,339,167,84,3.55 - 3.90,3.47 - 3.85,49%,50%,
Arts & Humanities,College Of Letters & science,Rhetoric,96,49,34,3.53 - 3.97,3.49 - 3.94,51%,69%,
Arts & Humanities,College Of Letters & science,Spanish / portuguese,62,37,16,3.48 - 3.82,3.32 - 3.78,60%,43%,
Arts & Humanities,College Of Letters & science,Theater and performance studies,119,44,18,3.55 - 3.95,3.51 - 3.91,37%,41%,
Business,School Of Business administration,Business administration,"1,862",107,97,3.86 - 4.00,3.86 - 4.00,6%,91%,
Computer Science,College Of Letters & science,Computer science,"1,043",51,40,3.76 - 3.99,3.73 - 4.00,5%,78%,
Engineering,College Of Chemistry,Chemical engineering,177,55,34,3.71 - 3.94,3.63 - 3.90,31%,62%,
Engineering,College Of Engineering,Bioengineering,133,20,12,3.89 - 4.00,3.89 - 3.97,15%,60%,
Engineering,College Of Engineering,Civil engineering,164,38,22,3.75 - 3.91,3.73 - 3.87,23%,58%,
Engineering,College Of Engineering,Electrical engineering - computer science,"1,316",123,105,3.92 - 4.00,3.90 - 4.00,9%,85%,
Engineering,College Of Engineering,Engineering physics,26,4,3,masked,masked,15%,75%,
Engineering,College Of Engineering,Industrial engineering & operations research engineering,43,8,6,3.79 - 3.90,3.76 - 3.89,19%,75%,
Engineering,College Of Engineering,Mechanical engineering,522,79,68,3.82 - 4.00,3.83 - 4.00,15%,86%,
Engineering,College Of Engineering,Nuclear engineering,18,4,3,masked,masked,22%,75%,
Engineering,College Of Letters & science,Operations research & management science,33,6,5,3.67 - 3.96,3.65 - 3.83,18%,83%,
Life Sciences,College Of Letters & science,Environmental economics & policy,131,38,32,3.75 - 4.00,3.72 - 3.96,29%,84%,
Life Sciences,College Of Letters & science,Geography,77,21,13,3.50 - 3.90,3.44 - 3.92,27%,62%,
Life Sciences,College Of Letters & science,Integrative biology,118,32,13,3.73 - 3.91,3.76 - 3.93,27%,41%,
Life Sciences,College Of Letters & science,Molecular & cell biology - pl1 - 1,322,108,44,3.62 - 3.91,3.51 - 3.87,34%,41%,
Life Sciences,College Of Letters & science,Molecular & cell biology - pl1 - 2,71,18,9,3.53 - 3.90,3.53 - 3.95,25%,50%,
Life Sciences,College Of Letters & science,Molecular & cell biology - pl1 - 3,67,22,10,3.60 - 3.92,3.53 - 3.79,33%,45%,
