Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,School Of Humanities,Art history,81,63,8,3.24 - 3.86,3.20 - 3.58,78%,13%,
Arts & Humanities,School Of Humanities,English,609,455,105,3.40 - 3.84,3.26 - 3.65,75%,23%,
Arts & Humanities,School Of Humanities,Film and media studies,638,405,119,3.40 - 3.80,3.25 - 3.68,63%,29%,
Arts & Humanities,School Of Humanities,History,375,267,58,3.40 - 3.84,3.30 - 3.66,71%,22%,
Arts & Humanities,School Of Humanities,Japanese language & literature,76,41,6,3.39 - 3.75,3.21 - 3.61,54%,15%,
Arts & Humanities,School Of Humanities,Korean literature and culture,21,11,3,3.49 - 3.94,masked,52%,27%,
Arts & Humanities,School Of Humanities,Philosophy,250,172,23,3.34 - 3.80,3.22 - 3.81,69%,13%,
Arts & Humanities,School Of Humanities,Spanish,79,49,12,3.30 - 3.66,3.23 - 3.59,62%,24%,
Arts & Humanities,School Of Social sciences,Language science,84,50,9,3.65 - 3.93,3.77 - 3.91,60%,18%,
Arts & Humanities,School Of The arts,Art,317,200,49,3.32 - 3.79,3.30 - 3.66,63%,25%,
Arts & Humanities,School Of The arts,Drama,250,185,63,3.42 - 3.83,3.43 - 3.79,74%,34%,
Arts & Humanities,School Of The arts,Music,72,20,12,2.88 - 3.62,2.62 - 3.59,28%,60%,
Business,Information & Computer Sci,Business information management,56,8,5,3.83 - 4.00,3.84 - 3.93,14%,63%,
Business,School Of Administration,Business administration,"2,589",411,159,3.74 - 3.98,3.68 - 3.92,16%,39%,
Business,School Of Social sciences,Business economics,905,415,168,3.65 - 3.92,3.58 - 3.85,46%,40%,
Computer Science,Information & Computer Sci,Computer game science,223,29,12,3.56 - 3.93,3.55 - 3.77,13%,41%,
Computer Science,Information & Computer Sci,Computer science,"2,241",263,82,3.90 - 4.00,3.86 - 4.00,12%,31%,
Computer Science,Information & Computer Sci,Informatics,76,16,7,3.51 - 3.91,3.51 - 3.89,21%,44%,
Education,School Of Education,Education sciences,197,97,40,3.46 - 3.79,3.47 - 3.83,49%,41%,
Engineering,Information & Computer Sci,Software engineering,110,23,14,3.55 - 3.87,3.56 - 3.91,21%,61%,
Engineering,School Of Engineering,Aerospace engineering,214,63,16,3.53 - 3.90,3.48 - 3.83,29%,25%,
Engineering,School Of Engineering,Biomedical engineering,162,41,23,3.45 - 3.67,3.46 - 3.61,25%,56%,
Engineering,School Of Engineering,Biomedical engineering: premed,52,11,3,3.56 - 3.73,masked,21%,27%,
Engineering,School Of Engineering,Chemical engineering,176,59,13,3.47 - 3.94,3.33 - 3.66,34%,22%,
Engineering,School Of Engineering,Computer engineering,240,68,28,3.54 - 3.85,3.44 - 3.66,28%,41%,
Engineering,School Of Engineering,Engineering - civil,235,55,19,3.48 - 3.83,3.46 - 3.71,23%,35%,
Engineering,School Of Engineering,Engineering - electrical,351,112,24,3.44 - 3.84,3.24 - 3.78,32%,21%,
Engineering,School Of Engineering,Engineering - mechanical,646,188,68,3.49 - 3.86,3.39 - 3.72,29%,36%,
Engineering,School Of Engineering,Materials science & engineering,45,17,6,3.36 - 3.80,3.31 - 3.41,38%,35%,
Life Sciences,School Of Biological sciences,Biological sciences,"2,056",751,176,3.50 - 3.87,3.44 - 3.76,37%,23%,
Life Sciences,School Of Physical sciences,Environmental science and policy,99,27,7,3.58 - 3.90,3.59 - 3.83,27%,26%,
Nursing,School Of Nursing,Nursing science,241,14,11,3.76 - 4.00,3.80 - 4.00,6%,79%,
Other/Interdisciplinary,Information & Computer Sci,Data science,164,50,8,3.72 - 3.97,3.53 - 3.78,30%,16%,
Other/Interdisciplinary,School Of Humanities,Global cultures,41,32,10,3.44 - 3.82,3.42 - 3.58,78%,31%,
Other/Interdisciplinary,School Of Humanities,Literary journalism,294,152,18,3.37 - 3.81,3.22 - 3.69,52%,12%,
Other/Interdisciplinary,School Of Social sciences,International studies,352,190,60,3.54 - 3.84,3.50 - 3.72,54%,32%,
Other/Interdisciplinary,Social Ecology,Social ecology,99,61,25,3.28 - 3.75,3.17 - 3.40,62%,41%,
Pharmacy,School Of Pharmacy,Pharmaceutical science,99,16,8,3.74 - 3.94,3.55 - 3.85,16%,50%,
Physical Sciences/Math,School Of Physical sciences,Chemistry,442,221,52,3.59 - 3.92,3.57 - 3.90,50%,24%,
Physical Sciences/Math,School Of Physical sciences,Mathematics,770,451,63,3.64 - 3.93,3.51 - 3.76,59%,14%,
Physical Sciences/Math,School Of Physical sciences,Physics,162,62,12,3.59 - 3.92,3.70 - 3.85,38%,19%,
Public Health,School Of Public health,Public health policy,136,92,28,3.37 - 3.71,3.33 - 3.57,68%,30%,
