Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,English,98,58,4,3.02 - 3.63,masked,59%,7%,
Arts & Humanities,Not applicable,History,67,44,4,2.89 - 3.51,masked,66%,9%,
Arts & Humanities,Not applicable,Spanish,18,14,4,2.85 - 3.43,masked,78%,29%,
Business,Not applicable,Management and business economics,250,143,8,2.92 - 3.60,2.61 - 3.42,57%,6%,
Engineering,Not applicable,Bioengineering,69,24,5,2.88 - 3.46,2.42 - 2.84,35%,21%,
Engineering,Not applicable,Computer science & engineering,339,117,9,2.96 - 3.56,2.75 - 2.97,35%,8%,
Engineering,Not applicable,Environmental engineering,35,16,3,2.85 - 3.40,masked,46%,19%,
Engineering,Not applicable,Materials science & engineering,60,33,3,2.78 - 3.39,masked,55%,9%,
Engineering,Not applicable,Mechanical engineering,222,123,30,2.92 - 3.43,2.74 - 3.10,55%,24%,
Life Sciences,Not applicable,Biological sciences,442,132,12,3.05 - 3.52,2.97 - 3.20,30%,9%,
Other/Interdisciplinary,Not applicable,Cognitive science,39,22,3,2.73 - 3.33,masked,56%,14%,
Physical Sciences/Math,Not applicable,Chemical sciences,117,38,6,2.97 - 3.51,2.73 - 3.26,32%,16%,
Physical Sciences/Math,Not applicable,Physics,47,28,3,2.90 - 3.46,masked,60%,11%,
Public Health,Not applicable,Public health,40,15,3,2.81 - 3.35,masked,38%,20%,
Social Sciences,Not applicable,Anthropology,72,46,8,2.73 - 3.45,2.57 - 3.11,64%,17%,
Social Sciences,Not applicable,Economics,219,134,4,2.91 - 3.53,masked,61%,3%,
Social Sciences,Not applicable,Political science,159,108,4,2.83 - 3.47,masked,68%,4%,
Social Sciences,Not applicable,Psychology,391,264,40,2.93 - 3.53,2.57 - 3.25,68%,15%,
Social Sciences,Not applicable,Sociology,109,22,3,2.90 - 3.37,masked,20%,14%,
Undeclared,Not applicable,Undeclared,265,252,17,2.88 - 3.41,2.83 - 3.19,95%,7%,
