Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,History,71,60,3,3.13 - 3.81,masked,85%,5%,
Business,Not applicable,Management and business economics,405,281,11,3.13 - 3.76,2.77 - 3.35,69%,4%,
Engineering,Not applicable,Computer science & engineering,528,231,36,3.34 - 3.85,2.99 - 3.47,44%,16%,
Engineering,Not applicable,Mechanical engineering,200,141,15,3.14 - 3.67,2.70 - 3.04,71%,11%,
Life Sciences,Not applicable,Biological sciences,489,211,17,3.22 - 3.73,3.13 - 3.54,43%,8%,
Physical Sciences/Math,Not applicable,Applied mathematics,295,134,9,3.26 - 3.79,3.47 - 3.89,45%,7%,
Physical Sciences/Math,Not applicable,Physics,57,33,4,3.13 - 3.63,masked,58%,12%,
Public Health,Not applicable,Public health,137,92,8,3.29 - 3.84,3.27 - 3.73,67%,9%,
Social Sciences,Not applicable,Anthropology,59,52,3,3.18 - 3.83,masked,88%,6%,
Social Sciences,Not applicable,Political science,165,130,7,3.03 - 3.61,2.79 - 3.22,79%,5%,
Social Sciences,Not applicable,Psychology,606,500,53,3.13 - 3.74,2.77 - 3.38,83%,11%,
Social Sciences,Not applicable,Sociology,185,134,7,3.03 - 3.66,3.35 - 3.62,72%,5%,
Undeclared,Not applicable,Undeclared,273,234,26,3.06 - 3.68,2.87 - 3.54,86%,11%,
