Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Humanities & social sci,Art,77,29,5,3.10 - 3.50,3.11 - 3.35,38%,17%,
Arts & Humanities,College Of Humanities & social sci,Art history,38,31,7,2.97 - 3.55,2.84 - 3.18,82%,23%,
Arts & Humanities,College Of Humanities & social sci,Art history/administration studies,7,6,3,2.96 - 3.56,masked,86%,50%,
Arts & Humanities,College Of Humanities & social sci,Creative writing,65,47,19,2.94 - 3.43,2.82 - 3.35,72%,40%,
Arts & Humanities,College Of Humanities & social sci,Dance,29,23,14,2.97 - 3.63,2.78 - 3.54,79%,61%,
Arts & Humanities,College Of Humanities & social sci,English,289,229,62,2.95 - 3.56,2.77 - 3.55,79%,27%,
Arts & Humanities,College Of Humanities & social sci,History,185,146,35,2.84 - 3.50,2.58 - 3.27,79%,24%,
Arts & Humanities,College Of Humanities & social sci,Japanese language & literature,37,30,4,2.81 - 3.34,masked,81%,13%,
Arts & Humanities,College Of Humanities & social sci,Language,25,17,3,2.80 - 3.58,masked,68%,18%,
Arts & Humanities,College Of Humanities & social sci,Liberal studies,72,52,19,2.94 - 3.41,2.85 - 3.32,72%,37%,
Arts & Humanities,College Of Humanities & social sci,Linguistics,73,57,12,2.93 - 3.58,2.56 - 3.09,78%,21%,
Arts & Humanities,College Of Humanities & social sci,Media and cultural studies,130,94,16,2.95 - 3.50,2.73 - 3.31,72%,17%,
Arts & Humanities,College Of Humanities & social sci,Music,30,18,4,2.89 - 3.36,masked,60%,22%,
Arts & Humanities,College Of Humanities & social sci,Philosophy,133,108,19,3.00 - 3.60,2.66 - 3.54,81%,18%,
Arts & Humanities,College Of Humanities & social sci,Religious studies,20,15,4,2.80 - 3.31,masked,75%,27%,
Arts & Humanities,College Of Humanities & social sci,Spanish,45,34,7,2.85 - 3.42,2.89 - 3.20,76%,21%,
Arts & Humanities,College Of Humanities & social sci,"Theatre, film and digital production",113,75,17,2.96 - 3.56,2.79 - 3.54,66%,23%,
Business,College Of Humanities & social sci,Business economics,419,309,48,3.04 - 3.62,2.70 - 3.31,74%,16%,
Business,School Of Business administration,Business administration,"1,520",835,168,3.15 - 3.67,3.05 - 3.50,55%,20%,
Computer Science,College Of Engineering,Computer science,705,175,29,3.17 - 3.69,3.08 - 3.45,25%,17%,
Engineering,College Of Engineering,Bioengineering,137,56,17,3.08 - 3.70,3.05 - 3.47,41%,30%,
Engineering,College Of Engineering,Chemical engineering,212,113,30,3.14 - 3.66,2.96 - 3.34,53%,27%,
Engineering,College Of Engineering,Computer engineering,134,35,11,3.18 - 3.61,3.37 - 3.67,26%,31%,
Engineering,College Of Engineering,Electrical engineering,222,92,14,3.11 - 3.54,3.02 - 3.30,41%,15%,
Engineering,College Of Engineering,Environmental engineering,57,29,4,3.21 - 3.57,masked,51%,14%,
Engineering,College Of Engineering,Materials science & engineering,54,20,5,3.19 - 3.57,3.06 - 3.21,37%,25%,
Engineering,College Of Engineering,Mechanical engineering,483,189,41,3.17 - 3.58,3.00 - 3.37,39%,22%,
Life Sciences,College Of Natural & agricultural sci,Biochemistry,421,164,29,3.28 - 3.75,3.20 - 3.57,39%,18%,
Life Sciences,College Of Natural & agricultural sci,Biology,716,220,33,3.25 - 3.67,3.21 - 3.60,31%,15%,
Life Sciences,College Of Natural & agricultural sci,"Cell, molecular, & developmental biology",127,51,11,3.08 - 3.69,2.86 - 3.34,40%,22%,
Life Sciences,College Of Natural & agricultural sci,Environmental science,82,24,3,3.00 - 3.63,masked,29%,13%,
Life Sciences,College Of Natural & agricultural sci,Microbiology,57,25,4,3.04 - 3.39,masked,44%,16%,
Life Sciences,College Of Natural & agricultural sci,Neuroscience,84,51,11,3.02 - 3.54,2.91 - 3.29,61%,22%,
Life Sciences,College Of Natural & agricultural sci,Plant biology,31,11,3,3.07 - 3.70,masked,35%,27%,
Other/Interdisciplinary,College Of Humanities & social sci,Global studies,80,68,6,2.80 - 3.53,2.40 - 3.19,85%,9%,
Other/Interdisciplinary,College Of Humanities & social sci,Sustainability studies,20,14,3,2.83 - 3.31,masked,70%,21%,
Physical Sciences/Math,College Of Natural & agricultural sci,Chemistry,173,80,18,3.07 - 3.69,3.03 - 3.79,46%,23%,
Physical Sciences/Math,College Of Natural & agricultural sci,Geology,30,15,6,3.07 - 3.80,3.22 - 3.29,50%,40%,
Physical Sciences/Math,College Of Natural & agricultural sci,Mathematics,223,123,16,3.05 - 3.65,2.78 - 3.56,55%,13%,
Physical Sciences/Math,College Of Natural & agricultural sci,Mathematics for secondary school,36,15,7,3.32 - 3.80,3.10 - 3.68,42%,47%,
Physical Sciences/Math,College Of Natural & agricultural sci,Physics,75,29,6,3.12 - 3.68,3.03 - 3.26,39%,21%,
Physical Sciences/Math,College Of Natural & agricultural sci,Statistics,50,27,4,3.29 - 3.84,masked,54%,15%,
Public Admin,College Of Humanities & social sci,Public policy,86,66,8,3.01 - 3.42,2.78 - 3.15,77%,12%,
Public Admin,College Of Humanities & social sci,Public service - political science,34,24,6,3.02 - 3.59,2.84 - 3.08,71%,25%,
Social Sciences,College Of Humanities & social sci,Anthropology,203,163,40,2.78 - 3.42,2.58 - 3.26,80%,25%,
Social Sciences,College Of Humanities & social sci,Asian studies,58,39,3,2.81 - 3.47,masked,67%,8%,
Social Sciences,College Of Humanities & social sci,Chicano studies,32,25,4,2.88 - 3.23,masked,78%,16%,
Social Sciences,College Of Humanities & social sci,Economics,481,380,52,2.96 - 3.51,2.71 - 3.23,79%,14%,
Social Sciences,College Of Humanities & social sci,Economics/administrative studies,52,43,10,2.88 - 3.33,2.78 - 3.30,83%,23%,
Social Sciences,College Of Humanities & social sci,Gender and sexuality studies,44,34,4,2.78 - 3.35,masked,77%,12%,
Social Sciences,College Of Humanities & social sci,Latin-american studies,11,9,3,2.67 - 3.08,masked,82%,33%,
Social Sciences,College Of Humanities & social sci,Political science,268,212,24,2.96 - 3.51,2.54 - 2.98,79%,11%,
Social Sciences,College Of Humanities & social sci,Political science / international studies,113,76,16,2.95 - 3.53,2.95 - 3.13,67%,21%,
Social Sciences,College Of Humanities & social sci,Psychology,"1,128",776,181,3.03 - 3.55,2.90 - 3.40,69%,23%,
Social Sciences,College Of Humanities & social sci,Sociology,554,426,78,2.90 - 3.45,2.68 - 3.15,77%,18%,
Social Sciences,College Of Humanities & social sci,Sociology/administration studies,57,39,10,2.87 - 3.42,2.75 - 3.17,68%,26%,
