Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Letters & science,Art - studio,184,128,26,3.43 - 3.85,3.41 - 3.90,70%,20%,
Arts & Humanities,College Of Letters & science,Art history,99,59,6,3.30 - 3.83,3.36 - 3.71,60%,10%,
Arts & Humanities,College Of Letters & science,Dance,23,9,3,3.54 - 3.69,masked,39%,33%,
Arts & Humanities,College Of Letters & science,English,518,334,56,3.34 - 3.83,3.22 - 3.65,64%,17%,
Arts & Humanities,College Of Letters & science,Film studies,417,224,64,3.39 - 3.82,3.20 - 3.67,54%,29%,
Arts & Humanities,College Of Letters & science,History,382,249,43,3.38 - 3.86,3.13 - 3.68,65%,17%,
Arts & Humanities,College Of Letters & science,Japanese,66,39,3,3.30 - 3.72,masked,59%,8%,
Arts & Humanities,College Of Letters & science,Linguistics,182,114,12,3.33 - 3.76,3.20 - 3.47,63%,11%,
Arts & Humanities,College Of Letters & science,Music,52,26,9,3.36 - 3.71,3.17 - 3.65,50%,35%,
Arts & Humanities,College Of Letters & science,Philosophy,302,206,26,3.35 - 3.85,3.26 - 3.68,68%,13%,
Arts & Humanities,College Of Letters & science,Religious studies,17,10,3,3.51 - 3.91,masked,59%,30%,
Arts & Humanities,College Of Letters & science,Spanish,75,47,10,3.19 - 3.74,3.10 - 3.64,63%,21%,
Arts & Humanities,College Of Letters & science,Theater,141,79,15,3.46 - 3.77,3.41 - 3.88,56%,19%,
Business,College Of Letters & science,Actuarial science,131,90,27,3.53 - 3.92,3.48 - 3.80,69%,30%,
Computer Science,College Of Engineering,Computer science,"1,329",87,4,3.87 - 4.00,masked,7%,5%,
Engineering,College Of Engineering,Chemical engineering,667,94,13,3.74 - 3.94,3.61 - 3.91,14%,14%,
Engineering,College Of Engineering,Computer engineering,188,36,5,3.71 - 3.97,3.63 - 3.80,19%,14%,
Engineering,College Of Engineering,Electrical engineering,331,78,11,3.70 - 3.93,3.67 - 3.85,24%,14%,
Life Sciences,College Of Letters & science,Biological sciences,"1,679",739,129,3.42 - 3.83,3.29 - 3.78,44%,17%,
Life Sciences,College Of Letters & science,Environmental studies,241,106,35,3.31 - 3.79,3.17 - 3.51,44%,33%,
Other/Interdisciplinary,College Of Letters & science,Communication studies,"1,387",821,298,3.35 - 3.83,3.26 - 3.67,59%,36%,
Other/Interdisciplinary,College Of Letters & science,Global studies,263,162,46,3.32 - 3.86,3.26 - 3.68,62%,28%,
Physical Sciences/Math,College Of Letters & science,Chemistry,504,314,46,3.34 - 3.83,3.25 - 3.58,62%,15%,
Physical Sciences/Math,College Of Letters & science,Financial mathematics & statistics,156,106,25,3.56 - 3.92,3.40 - 3.80,68%,24%,
Physical Sciences/Math,College Of Letters & science,Geology,65,32,10,3.33 - 3.61,3.29 - 3.53,49%,31%,
Physical Sciences/Math,College Of Letters & science,Mathematical sciences,148,88,10,3.56 - 3.89,3.66 - 3.84,59%,11%,
Physical Sciences/Math,College Of Letters & science,Mathematics,459,280,37,3.46 - 3.90,3.36 - 3.79,61%,13%,
Physical Sciences/Math,College Of Letters & science,Physics,303,180,46,3.38 - 3.82,3.31 - 3.76,59%,26%,
Physical Sciences/Math,College Of Letters & science,Statistical science,217,148,28,3.57 - 3.92,3.25 - 3.65,68%,19%,
Social Sciences,College Of Letters & science,Anthropology,409,245,51,3.31 - 3.83,3.27 - 3.65,60%,21%,
Social Sciences,College Of Letters & science,Asian studies,127,71,4,3.26 - 3.84,masked,56%,6%,
Social Sciences,College Of Letters & science,Biopsychology,235,147,32,3.34 - 3.76,3.25 - 3.48,63%,22%,
Social Sciences,College Of Letters & science,Black studies,26,11,3,3.03 - 3.34,masked,42%,27%,
Social Sciences,College Of Letters & science,Chicano studies,53,22,3,3.25 - 3.63,masked,42%,14%,
Social Sciences,College Of Letters & science,Economics,"1,997","1,006",242,3.41 - 3.87,3.24 - 3.66,50%,24%,
Social Sciences,College Of Letters & science,Economics and accounting,"1,224",734,229,3.49 - 3.87,3.35 - 3.68,60%,31%,
Social Sciences,College Of Letters & science,Feminist studies,77,49,8,3.13 - 3.78,3.11 - 3.45,64%,16%,
Social Sciences,College Of Letters & science,Geography,78,63,16,3.36 - 3.84,3.19 - 3.58,81%,25%,
Social Sciences,College Of Letters & science,Political science,951,625,115,3.36 - 3.86,3.26 - 3.61,66%,18%,
Social Sciences,College Of Letters & science,Psychological and brain science,"1,177",672,166,3.37 - 3.83,3.33 - 3.70,57%,25%,
Social Sciences,College Of Letters & science,Sociology,"1,197",739,178,3.30 - 3.80,3.20 - 3.60,62%,24%,
