Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Art,108,76,28,3.11 - 3.67,2.95 - 3.47,70%,37%,
Arts & Humanities,Not applicable,Art history,60,43,5,3.09 - 3.65,2.82 - 3.46,72%,12%,
Arts & Humanities,Not applicable,Film and digital media,309,209,32,3.09 - 3.65,2.98 - 3.44,68%,15%,
Arts & Humanities,Not applicable,History,217,159,32,3.00 - 3.63,2.78 - 3.46,73%,20%,
Arts & Humanities,Not applicable,Language studies,78,50,5,2.99 - 3.53,3.11 - 3.26,64%,10%,
Arts & Humanities,Not applicable,Linguistics,88,63,11,3.10 - 3.71,3.13 - 3.72,72%,17%,
Arts & Humanities,Not applicable,Literature,394,304,54,3.03 - 3.65,2.87 - 3.45,77%,18%,
Arts & Humanities,Not applicable,Music,41,24,7,3.04 - 3.53,2.94 - 3.54,59%,29%,
Arts & Humanities,Not applicable,Philosophy,182,140,26,3.10 - 3.72,2.82 - 3.39,77%,19%,
Business,Not applicable,Business management - economics,767,368,47,3.16 - 3.68,3.14 - 3.58,48%,13%,
Computer Science,Not applicable,Computer science,804,407,132,3.23 - 3.72,3.08 - 3.50,51%,32%,
Computer Science,Not applicable,Computer science: computer game design,147,49,29,3.11 - 3.65,3.00 - 3.56,33%,59%,
Computer Science,Not applicable,Technology and information management,21,12,3,3.19 - 3.70,masked,57%,25%,
Engineering,Not applicable,Bioengineering,162,70,10,3.25 - 3.77,2.98 - 3.42,43%,14%,
Engineering,Not applicable,Computer engineering,139,66,16,3.26 - 3.68,3.00 - 3.45,47%,24%,
Engineering,Not applicable,Electrical engineering,248,115,21,3.17 - 3.64,3.00 - 3.64,46%,18%,
Engineering,Not applicable,Robotics engineering bs,108,39,15,3.05 - 3.58,3.05 - 3.40,36%,38%,
Life Sciences,Not applicable,Biochemistry- molecular biology,160,83,18,3.10 - 3.79,3.01 - 3.44,52%,22%,
Life Sciences,Not applicable,Ecology & evolution,53,28,9,2.94 - 3.58,2.94 - 3.58,53%,32%,
Life Sciences,Not applicable,Environmental studies,137,101,34,3.05 - 3.55,2.82 - 3.30,74%,34%,
Life Sciences,Not applicable,Environmental studies/biology,31,17,7,2.92 - 3.54,2.55 - 3.24,55%,41%,
Life Sciences,Not applicable,Environmental studies/earth science,47,36,4,2.91 - 3.35,masked,77%,11%,
Life Sciences,Not applicable,Environmental studies/economics,41,29,9,3.04 - 3.44,3.07 - 3.36,71%,31%,
Life Sciences,Not applicable,Health sciences,112,49,7,3.09 - 3.74,2.79 - 3.05,44%,14%,
Life Sciences,Not applicable,Marine biology,84,35,15,3.00 - 3.50,3.00 - 3.45,42%,43%,
Life Sciences,Not applicable,"Molecular, cell, & developmental biology",98,61,13,3.00 - 3.58,2.83 - 3.20,62%,21%,
Life Sciences,Not applicable,Neuroscience,123,72,10,2.99 - 3.62,2.75 - 3.23,59%,14%,
Other/Interdisciplinary,Not applicable,Cognitive science,104,79,22,3.02 - 3.62,3.01 - 3.39,76%,28%,
Other/Interdisciplinary,Not applicable,Economics - mathematics,9,9,5,2.87 - 3.36,2.78 - 3.36,100%,56%,
Other/Interdisciplinary,Not applicable,Legal studies,65,47,11,3.00 - 3.51,2.47 - 3.31,72%,23%,
Physical Sciences/Math,Not applicable,Astrophysics,83,38,16,3.05 - 3.78,2.96 - 3.69,46%,42%,
Physical Sciences/Math,Not applicable,Chemistry,245,116,15,3.08 - 3.58,3.00 - 3.68,47%,13%,
Physical Sciences/Math,Not applicable,Earth science,86,67,20,2.90 - 3.48,2.80 - 3.60,78%,30%,
Physical Sciences/Math,Not applicable,Mathematics,279,199,39,3.04 - 3.72,2.81 - 3.37,71%,20%,
Physical Sciences/Math,Not applicable,Physics,126,62,12,3.17 - 3.64,3.14 - 3.60,49%,19%,
Public Admin,Not applicable,Community studies,137,96,25,2.95 - 3.57,2.88 - 3.54,70%,26%,
Social Sciences,Not applicable,Anthropology,291,215,40,2.95 - 3.62,2.81 - 3.53,74%,19%,
Social Sciences,Not applicable,Economics,666,370,23,3.14 - 3.66,2.78 - 3.33,56%,6%,
Social Sciences,Not applicable,Politics,403,287,40,3.03 - 3.65,2.76 - 3.28,71%,14%,
Social Sciences,Not applicable,Psychology,906,384,88,3.11 - 3.71,3.06 - 3.66,42%,23%,
Social Sciences,Not applicable,Sociology,698,401,84,2.99 - 3.57,2.91 - 3.41,57%,21%,
Social Sciences,Not applicable,Women's studies,76,52,6,3.06 - 3.68,2.95 - 3.32,68%,12%,
Unknown,Not applicable,Invalid ccm combination,101,86,69,2.86 - 3.32,2.86 - 3.29,85%,80%,
