Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Art,202,151,33,3.24 - 3.71,3.11 - 3.49,75%,22%,
Arts & Humanities,Not applicable,Art and design: games and playable media,86,25,13,3.10 - 3.66,3.10 - 3.57,29%,52%,
Arts & Humanities,Not applicable,Art history,69,56,13,3.05 - 3.78,3.06 - 3.60,81%,23%,
Arts & Humanities,Not applicable,Film and digital media,465,366,79,3.09 - 3.75,2.94 - 3.44,79%,22%,
Arts & Humanities,Not applicable,History,293,241,52,3.05 - 3.72,2.86 - 3.52,82%,22%,
Arts & Humanities,Not applicable,Language studies,60,42,9,3.02 - 3.48,2.86 - 3.12,70%,21%,
Arts & Humanities,Not applicable,Linguistics,86,74,13,3.14 - 3.80,3.17 - 3.80,86%,18%,
Arts & Humanities,Not applicable,Literature,347,283,55,3.03 - 3.71,2.91 - 3.67,82%,19%,
Arts & Humanities,Not applicable,Music,71,47,6,3.09 - 3.70,3.16 - 3.90,66%,13%,
Arts & Humanities,Not applicable,Philosophy,187,152,26,3.07 - 3.73,2.78 - 3.38,81%,17%,
Arts & Humanities,Not applicable,Theater arts,109,81,17,3.27 - 3.78,2.88 - 3.64,74%,21%,
Business,Not applicable,Business management - economics,"1,136",675,105,3.18 - 3.79,3.09 - 3.61,59%,16%,
Computer Science,Not applicable,Computer science,"1,601",507,206,3.43 - 3.91,3.23 - 3.75,32%,41%,
Computer Science,Not applicable,Computer science: computer game design,172,72,37,3.16 - 3.78,3.11 - 3.77,42%,51%,
Computer Science,Not applicable,Technology and information management,48,23,7,3.12 - 3.79,3.31 - 3.66,48%,30%,
Education,Not applicable,"Education, democracy, and justice",16,16,16,2.82 - 3.58,2.82 - 3.58,100%,100%,
Engineering,Not applicable,Computer engineering,201,123,30,3.25 - 3.75,3.12 - 3.67,61%,24%,
Engineering,Not applicable,Electrical engineering,253,129,24,3.21 - 3.70,3.09 - 3.50,51%,19%,
Engineering,Not applicable,Robotics engineering bs,96,49,12,3.26 - 3.71,2.98 - 3.40,51%,24%,
Life Sciences,Not applicable,Biochemistry- molecular biology,210,113,24,3.20 - 3.83,2.96 - 3.30,54%,21%,
Life Sciences,Not applicable,Biology,784,449,100,3.06 - 3.63,2.88 - 3.36,57%,22%,
Life Sciences,Not applicable,Ecology & evolution,70,43,18,3.06 - 3.63,2.98 - 3.58,61%,42%,
Life Sciences,Not applicable,Environmental studies,123,45,19,3.11 - 3.57,3.11 - 3.38,37%,42%,
Life Sciences,Not applicable,Environmental studies/economics,29,12,4,3.29 - 3.78,masked,41%,33%,
Life Sciences,Not applicable,Health sciences,166,81,11,3.22 - 3.74,3.07 - 3.37,49%,14%,
Life Sciences,Not applicable,Marine biology,126,60,16,3.04 - 3.44,2.74 - 3.19,48%,27%,
Life Sciences,Not applicable,"Molecular, cell, & developmental biology",107,76,12,3.16 - 3.76,2.75 - 3.11,71%,16%,
Life Sciences,Not applicable,Neuroscience,130,56,13,3.25 - 3.75,2.87 - 3.46,43%,23%,
Life Sciences,Not applicable,Plant science,39,15,5,3.00 - 3.60,3.07 - 3.73,38%,33%,
Other/Interdisciplinary,Not applicable,Cognitive science,140,52,17,3.07 - 3.76,2.59 - 3.46,37%,33%,
Other/Interdisciplinary,Not applicable,Legal studies,187,143,35,2.97 - 3.62,2.76 - 3.54,76%,24%,
Physical Sciences/Math,Not applicable,Astrophysics,73,52,18,3.16 - 3.65,2.84 - 3.56,71%,35%,
Physical Sciences/Math,Not applicable,Chemistry,185,84,12,3.16 - 3.76,2.75 - 3.20,45%,14%,
Physical Sciences/Math,Not applicable,Earth science,137,117,32,3.03 - 3.51,3.04 - 3.37,85%,27%,
Physical Sciences/Math,Not applicable,Mathematics,212,166,27,3.17 - 3.80,2.84 - 3.50,78%,16%,
Physical Sciences/Math,Not applicable,Physics,86,61,14,3.29 - 3.74,2.97 - 3.43,71%,23%,
Public Admin,Not applicable,Community studies,159,126,29,2.99 - 3.59,2.96 - 3.63,79%,23%,
Social Sciences,Not applicable,Anthropology,325,258,77,3.05 - 3.73,2.86 - 3.69,79%,30%,
Social Sciences,Not applicable,Earth science/anthropology,5,5,3,2.93 - 3.12,masked,100%,60%,
Social Sciences,Not applicable,Economics,708,525,62,3.15 - 3.74,2.82 - 3.32,74%,12%,
Social Sciences,Not applicable,Ethnic studies,71,52,13,2.93 - 3.49,2.51 - 3.18,73%,25%,
Social Sciences,Not applicable,Global economics,55,23,3,3.37 - 3.81,masked,42%,13%,
Social Sciences,Not applicable,Latin american & latino studies,15,8,3,2.73 - 3.29,masked,53%,38%,
Social Sciences,Not applicable,Latin american & latino studies - sociology,17,13,4,2.75 - 3.39,masked,76%,31%,
Social Sciences,Not applicable,Politics,568,439,85,3.09 - 3.76,2.76 - 3.34,77%,19%,
Social Sciences,Not applicable,Psychology,"1,483",542,154,3.20 - 3.81,3.08 - 3.66,37%,28%,
Social Sciences,Not applicable,Sociology,756,505,108,3.06 - 3.72,2.88 - 3.51,67%,21%,
Social Sciences,Not applicable,Women's studies,51,44,9,3.12 - 3.82,2.83 - 3.76,86%,20%,
Undeclared,Not applicable,Undeclared,283,114,21,3.20 - 3.72,3.07 - 3.48,40%,18%,
Unknown,Not applicable,Invalid ccm combination,199,100,4,3.14 - 3.76,masked,50%,4%,
