Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Art history/criticism,56,32,10,3.49 - 3.77,3.27 - 3.60,57%,31%,
Arts & Humanities,Not applicable,Drama,131,54,23,3.50 - 3.85,3.48 - 3.90,41%,43%,
Arts & Humanities,Not applicable,History,280,160,19,3.55 - 3.90,3.06 - 3.64,57%,12%,
Arts & Humanities,Not applicable,Linguistics,118,60,13,3.47 - 3.81,3.05 - 3.76,51%,22%,
Arts & Humanities,Not applicable,Linguistics - languages studies,26,17,7,3.50 - 3.82,3.37 - 3.93,65%,41%,
Arts & Humanities,Not applicable,Linguistics (cognition & language),23,16,4,3.40 - 3.91,masked,70%,25%,
Arts & Humanities,Not applicable,"Literature, english/american",148,82,15,3.45 - 3.84,3.13 - 3.56,55%,18%,
Arts & Humanities,Not applicable,Literature/writing,112,60,20,3.42 - 3.79,3.29 - 3.68,54%,33%,
Arts & Humanities,Not applicable,Music,38,16,5,3.24 - 3.84,3.06 - 3.24,42%,31%,
Arts & Humanities,Not applicable,Philosophy,173,88,6,3.47 - 3.86,3.24 - 3.61,51%,7%,
Arts & Humanities,Not applicable,Religious studies,16,8,3,3.07 - 3.65,masked,50%,38%,
Arts & Humanities,Not applicable,Studio art,109,52,19,3.55 - 3.80,3.29 - 3.76,48%,37%,
Arts & Humanities,Not applicable,Visual arts - media,194,88,28,3.46 - 3.86,3.43 - 3.81,45%,32%,
Business,Not applicable,Management science,220,119,52,3.53 - 3.87,3.41 - 3.76,54%,44%,
Computer Science,Not applicable,Computer science,808,207,104,3.68 - 3.92,3.63 - 3.88,26%,50%,
Education,Not applicable,Mathematics/secondary education,29,12,4,3.48 - 3.88,masked,41%,33%,
Engineering,Not applicable,Aerospace engineering,140,41,11,3.63 - 3.89,3.49 - 3.69,29%,27%,
Engineering,Not applicable,Bioengineering,104,27,12,3.72 - 3.92,3.69 - 3.90,26%,44%,
Engineering,Not applicable,Bioengineering (biotech),47,22,10,3.56 - 3.94,3.52 - 3.82,47%,45%,
Engineering,Not applicable,Bioengineering: biosystems,21,11,4,3.71 - 3.88,masked,52%,36%,
Engineering,Not applicable,Chemical engineering,163,45,13,3.79 - 4.00,3.70 - 3.92,28%,29%,
Engineering,Not applicable,Computer engineering,201,49,23,3.70 - 3.91,3.68 - 3.89,24%,47%,
Engineering,Not applicable,Electrical engineering - bs,319,110,47,3.57 - 3.88,3.47 - 3.77,34%,43%,
Engineering,Not applicable,Environmental engineering,73,28,9,3.61 - 3.81,3.64 - 3.79,38%,32%,
Engineering,Not applicable,Mechanical engineering,428,91,18,3.76 - 3.98,3.69 - 3.92,21%,20%,
Engineering,Not applicable,Nanoengineering,46,27,9,3.51 - 3.67,3.45 - 3.66,59%,33%,
Engineering,Not applicable,Structural engineering,148,57,31,3.44 - 3.73,3.29 - 3.62,39%,54%,
Life Sciences,Not applicable,Biochemistry & cell biology,426,215,96,3.48 - 3.85,3.29 - 3.73,50%,45%,
Life Sciences,Not applicable,Biology,486,234,95,3.40 - 3.81,3.29 - 3.73,48%,41%,
Life Sciences,Not applicable,Biology - bioinformatics,19,10,6,3.28 - 3.60,3.20 - 3.40,53%,60%,
Life Sciences,Not applicable,"Ecology, behavior & evolution",73,34,15,3.50 - 3.83,3.23 - 3.68,47%,44%,
Life Sciences,Not applicable,Environmental systems - earth sciences,40,11,4,3.13 - 3.51,masked,28%,36%,
Life Sciences,Not applicable,Environmental systems - environmental policy,38,9,4,3.46 - 3.63,masked,24%,44%,
Life Sciences,Not applicable,Human biology,524,270,144,3.41 - 3.78,3.31 - 3.76,52%,53%,
Life Sciences,Not applicable,Marine biology,76,25,16,3.14 - 3.81,3.23 - 3.72,33%,64%,
Life Sciences,Not applicable,Microbiology,88,49,26,3.33 - 3.74,3.17 - 3.55,56%,53%,
Life Sciences,Not applicable,Molecular biology,120,68,22,3.49 - 3.86,3.24 - 3.75,57%,32%,
Life Sciences,Not applicable,Physiology & neuroscience,272,140,55,3.40 - 3.80,3.32 - 3.76,51%,39%,
Other Health Science,Not applicable,Global health,55,32,13,3.52 - 3.83,3.52 - 3.62,58%,41%,
Other/Interdisciplinary,Not applicable,Cognitive science,117,58,21,3.45 - 3.85,3.32 - 3.69,50%,36%,
