Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Environmental design,Architecture,246,78,63,3.49 - 3.80,3.46 - 3.77,32%,81%,
Architecture,College Of Environmental design,Landscape architecture,28,6,6,3.33 - 3.91,3.33 - 3.91,21%,100%,
Arts & Humanities,College Of Letters & science,Art,155,51,27,3.49 - 3.82,3.37 - 3.71,33%,53%,
Arts & Humanities,College Of Letters & science,Chinese language & literature,50,10,7,3.66 - 3.88,3.80 - 3.91,20%,70%,
Arts & Humanities,College Of Letters & science,Comparative literature,53,25,15,3.59 - 3.84,3.55 - 3.88,47%,60%,
Arts & Humanities,College Of Letters & science,English,628,211,140,3.61 - 3.89,3.58 - 3.89,34%,66%,
Arts & Humanities,College Of Letters & science,Film,229,56,31,3.57 - 3.87,3.64 - 3.90,24%,55%,
Arts & Humanities,College Of Letters & science,French,31,12,8,3.67 - 3.92,3.71 - 3.92,39%,67%,
Arts & Humanities,College Of Letters & science,German,13,5,4,3.81 - 3.95,masked,38%,80%,
Arts & Humanities,College Of Letters & science,History,337,76,38,3.75 - 3.95,3.71 - 3.95,23%,50%,
Arts & Humanities,College Of Letters & science,History of art,121,43,20,3.49 - 3.79,3.46 - 3.79,36%,47%,
Arts & Humanities,College Of Letters & science,Japanese language & literature,92,19,12,3.58 - 3.87,3.50 - 3.89,21%,63%,
Arts & Humanities,College Of Letters & science,Linguistics,191,34,21,3.71 - 4.00,3.68 - 3.94,18%,62%,
Arts & Humanities,College Of Letters & science,Music,80,19,13,3.53 - 3.85,3.47 - 3.75,24%,68%,
Arts & Humanities,College Of Letters & science,Near eastern languages & literature,9,4,4,masked,masked,44%,100%,
Arts & Humanities,College Of Letters & science,Philosophy,314,119,74,3.60 - 3.91,3.60 - 3.88,38%,62%,
Arts & Humanities,College Of Letters & science,Religious studies,37,16,11,3.68 - 3.82,3.76 - 3.85,43%,69%,
Arts & Humanities,College Of Letters & science,Rhetoric,124,50,42,3.41 - 3.82,3.43 - 3.80,40%,84%,
Arts & Humanities,College Of Letters & science,South & southeast asian studies,15,6,6,3.15 - 3.46,3.15 - 3.46,40%,100%,
Arts & Humanities,College Of Letters & science,Spanish,35,13,9,3.49 - 3.78,3.49 - 3.76,37%,69%,
Arts & Humanities,College Of Letters & science,Spanish - option d,27,11,10,3.53 - 3.82,3.52 - 3.84,41%,91%,
Arts & Humanities,College Of Letters & science,Spanish-option c plan 2,9,3,3,masked,masked,33%,100%,
Arts & Humanities,College Of Letters & science,Theater and performance studies,90,29,20,3.42 - 3.80,3.43 - 3.83,32%,69%,
Business,School Of Business administration,Business administration,"1,507",89,84,3.72 - 4.00,3.72 - 4.00,6%,94%,
Computer Science,College Of Letters & science,Computer science,308,43,38,3.73 - 3.94,3.77 - 4.00,14%,88%,
Engineering,College Of Chemistry,Chemical engineering,186,34,29,3.82 - 3.98,3.81 - 4.00,18%,85%,
Engineering,College Of Chemistry,Chemical engineering and materials science and engineering,44,15,13,3.83 - 3.94,3.83 - 3.94,34%,87%,
Engineering,College Of Chemistry,Chemical engineering and nuclear engineering,22,4,3,masked,masked,18%,75%,
Engineering,College Of Engineering,Bioengineering,118,5,4,3.96 - 4.00,masked,4%,80%,
Engineering,College Of Engineering,Civil engineering,242,31,21,3.79 - 3.95,3.73 - 3.95,13%,68%,
Engineering,College Of Engineering,Electrical engineering  - computer science,768,74,63,3.88 - 4.00,3.87 - 4.00,10%,85%,
Engineering,College Of Engineering,Electrical engineering & computer sciences &  materials science and engineering,52,5,4,3.91 - 3.95,masked,10%,80%,
Engineering,College Of Engineering,Engineering mathematics - mathematics science,5,3,3,masked,masked,60%,100%,
Engineering,College Of Engineering,Industrial engineering & operations research engineering,56,5,5,3.80 - 3.92,3.80 - 3.92,9%,100%,
Engineering,College Of Engineering,Materials science and engineering and mechanical engineering,37,5,3,3.79 - 4.00,masked,14%,60%,
Engineering,College Of Engineering,Mechanical engineering,445,62,48,3.84 - 4.00,3.86 - 4.00,14%,77%,
Engineering,College Of Letters & science,Operations research & management science,15,6,6,3.70 - 3.97,3.70 - 3.97,40%,100%,
Life Sciences,College Of Letters & science,Environmental economics & policy,59,24,18,3.73 - 4.00,3.68 - 4.00,41%,75%,
Life Sciences,College Of Letters & science,Integrative biology,108,19,11,3.50 - 3.87,3.46 - 3.87,18%,58%,
Life Sciences,College Of Letters & science,Molecular & cell biology - pl1 - 1,247,66,32,3.61 - 3.99,3.52 - 3.95,27%,48%,
Life Sciences,College Of Letters & science,Molecular & cell biology - pl1 - 2,55,13,8,3.57 - 3.86,3.50 - 3.78,24%,62%,
Life Sciences,College Of Letters & science,Molecular & cell biology - pl1 - 3,53,12,9,3.62 - 3.84,3.52 - 3.75,23%,75%,
Life Sciences,College Of Letters & science,Molecular & cell biology - pl2 - 2,122,22,12,3.70 - 3.88,3.51 - 3.94,18%,55%,
Life Sciences,College Of Letters & science,Molecular & cell biology - pl2 - 3,152,32,16,3.64 - 3.92,3.63 - 3.90,21%,50%,
Life Sciences,College Of Natural resources,Conservation & resource studies,38,16,12,3.30 - 3.74,3.30 - 3.59,42%,75%,
Life Sciences,College Of Natural resources,Environmental economics & policy,46,18,17,3.35 - 3.81,3.31 - 3.80,39%,94%,
Life Sciences,College Of Natural resources,Environmental science,71,16,8,3.43 - 3.85,3.11 - 3.62,23%,50%,
Life Sciences,College Of Natural resources,Microbial biology,60,12,6,3.66 - 3.92,3.85 - 3.94,20%,50%,
Life Sciences,College Of Natural resources,Molecular environmental biology,155,22,13,3.70 - 3.89,3.77 - 3.92,14%,59%,
Life Sciences,College Of Natural resources,Molecular toxicology,43,16,9,3.58 - 3.87,3.62 - 3.92,37%,56%,
Life Sciences,College Of Natural resources,Society and environment,55,23,18,3.60 - 3.85,3.60 - 3.82,42%,78%,
Other/Interdisciplinary,College Of Letters & science,Classical civilization,11,4,4,masked,masked,36%,100%,
Other/Interdisciplinary,College Of Letters & science,Cognitive science,103,23,16,3.73 - 3.92,3.69 - 3.91,22%,70%,
Other/Interdisciplinary,College Of Letters & science,Interdisciplinary studies,78,20,13,3.50 - 3.80,3.45 - 3.67,26%,65%,
Other/Interdisciplinary,College Of Letters & science,Legal studies,99,28,24,3.61 - 3.73,3.64 - 3.73,28%,86%,
Other/Interdisciplinary,College Of Letters & science,Media studies,394,111,53,3.73 - 3.93,3.63 - 3.88,28%,48%,
Other/Interdisciplinary,College Of Letters & science,Peace & conflict studies,93,26,20,3.58 - 3.84,3.57 - 3.84,28%,77%,
Other/Interdisciplinary,College Of Natural resources,Nutritional science,151,16,12,3.57 - 3.82,3.55 - 3.82,11%,75%,
Physical Sciences/Math,College Of Chemistry,Chemical biology,277,43,22,3.71 - 3.97,3.68 - 3.97,16%,51%,
Physical Sciences/Math,College Of Chemistry,Chemistry,227,32,18,3.69 - 3.93,3.69 - 3.88,14%,56%,
Physical Sciences/Math,College Of Engineering,Materials science & engineering,36,6,5,3.67 - 3.88,3.63 - 3.89,17%,83%,
Physical Sciences/Math,College Of Letters & science,Applied mathematics,242,97,68,3.77 - 4.00,3.76 - 4.00,40%,70%,
Physical Sciences/Math,College Of Letters & science,Astrophysics,66,16,11,3.66 - 3.88,3.74 - 3.89,24%,69%,
Physical Sciences/Math,College Of Letters & science,Chemistry,41,11,7,3.55 - 3.80,3.55 - 3.74,27%,64%,
Physical Sciences/Math,College Of Letters & science,Earth/planetary sciences,74,12,6,3.58 - 3.85,3.73 - 3.91,16%,50%,
Physical Sciences/Math,College Of Letters & science,Mathematics,240,71,48,3.63 - 3.93,3.61 - 3.93,30%,68%,
Physical Sciences/Math,College Of Letters & science,Physics,153,43,31,3.58 - 3.90,3.55 - 3.81,28%,72%,
Physical Sciences/Math,College Of Letters & science,Statistics,117,45,31,3.69 - 3.92,3.68 - 3.92,38%,69%,
Public Admin,College Of Letters & science,Social welfare,92,24,19,3.65 - 3.92,3.65 - 3.92,26%,79%,
Public Health,College Of Letters & science,Public health,75,15,7,3.67 - 3.95,3.65 - 3.97,20%,47%,
Social Sciences,College Of Environmental design,Urban studies,41,18,10,3.53 - 3.82,3.53 - 3.82,44%,56%,
Social Sciences,College Of Letters & science,American studies,24,10,7,3.21 - 3.73,3.04 - 3.71,42%,70%,
Social Sciences,College Of Letters & science,Anthropology,475,95,50,3.65 - 3.93,3.65 - 3.94,20%,53%,
Social Sciences,College Of Letters & science,Asian american studies,35,4,4,masked,masked,11%,100%,
Social Sciences,College Of Letters & science,Development studies,91,27,20,3.57 - 3.93,3.53 - 3.89,30%,74%,
Social Sciences,College Of Letters & science,Economics,"1,277",283,204,3.78 - 4.00,3.76 - 4.00,22%,72%,
Social Sciences,College Of Letters & science,Gender & women's studies,75,17,11,3.46 - 3.90,3.33 - 3.88,23%,65%,
