Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Environmental design,Architecture,259,45,37,3.73 - 4.00,3.76 - 4.00,17%,82%,
Arts & Humanities,College Of Letters & science,Art,251,64,27,3.79 - 4.00,3.62 - 3.97,25%,42%,
Arts & Humanities,College Of Letters & science,Comparative Literature,42,25,11,3.69 - 4.00,3.67 - 4.00,60%,44%,
Arts & Humanities,College Of Letters & science,Dance & Performance Studies,25,9,4,3.26 - 3.94,redacted,36%,44%,
Arts & Humanities,College Of Letters & science,"East Asian Religion, Thought, and Culture",68,10,3,3.68 - 4.00,redacted,15%,30%,
Arts & Humanities,College Of Letters & science,English,480,306,130,3.53 - 3.93,3.46 - 3.92,64%,42%,
Arts & Humanities,College Of Letters & science,Film,410,210,96,3.48 - 3.90,3.45 - 3.88,51%,46%,
Arts & Humanities,College Of Letters & science,History,265,137,57,3.67 - 4.00,3.60 - 3.94,52%,42%,
Arts & Humanities,College Of Letters & science,History of Art,111,52,28,3.30 - 4.00,3.20 - 3.91,47%,54%,
Arts & Humanities,College Of Letters & science,Japanese Language & Literature,28,12,7,3.48 - 3.91,3.35 - 3.67,43%,58%,
Arts & Humanities,College Of Letters & science,Linguistics,89,53,26,3.59 - 3.95,3.49 - 3.91,60%,49%,
Arts & Humanities,College Of Letters & science,Middle Eastern Languages & Literatures,20,8,5,3.50 - 4.00,3.44 - 3.88,40%,63%,
Arts & Humanities,College Of Letters & science,Music,87,49,24,3.55 - 3.91,3.71 - 3.96,56%,49%,
Arts & Humanities,College Of Letters & science,Philosophy,275,158,76,3.55 - 3.91,3.49 - 3.92,57%,48%,
Arts & Humanities,College Of Letters & science,Rhetoric,120,53,35,3.56 - 3.90,3.59 - 3.92,44%,66%,
Arts & Humanities,College Of Letters & science,Spanish / Portuguese,29,16,9,3.45 - 3.84,3.42 - 3.77,55%,56%,
Arts & Humanities,College Of Letters & science,Theater and Performance Studies,134,62,32,3.43 - 3.86,3.42 - 3.84,46%,52%,
Business,School Of Business administration,Business Administration,"2,492",117,109,3.85 - 4.00,3.84 - 4.00,5%,93%,
Computer Science,"Computing, Data Sci and Soc",Computer Science,"2,177",33,27,3.91 - 4.00,3.91 - 4.00,2%,82%,
Computer Science,"Computing, Data Sci and Soc",Data Science,663,81,68,3.75 - 4.00,3.74 - 4.00,12%,84%,
Engineering,College Of Chemistry,Chemical Engineering,123,38,25,3.72 - 3.94,3.63 - 3.94,31%,66%,
Engineering,College Of Engineering,Aerospace Engineering,161,29,23,3.75 - 3.98,3.76 - 4.00,18%,79%,
Engineering,College Of Engineering,Bioengineering,145,24,13,3.81 - 4.00,3.86 - 4.00,17%,54%,
Engineering,College Of Engineering,Civil Engineering,178,50,26,3.76 - 3.94,3.74 - 3.95,28%,52%,
Engineering,College Of Engineering,Electrical Engineering - Computer Science,892,119,105,3.96 - 4.00,3.96 - 4.00,13%,88%,
Engineering,College Of Engineering,Environmental Engineering,37,5,4,3.85 - 3.94,redacted,14%,80%,
Engineering,College Of Engineering,Industrial Engineering & Operations Research Engineering,28,5,5,3.91 - 4.00,3.91 - 4.00,18%,100%,
Engineering,College Of Engineering,Mechanical Engineering,544,86,54,3.79 - 4.00,3.76 - 3.99,16%,63%,
Engineering,College Of Engineering,Nuclear Engineering,26,8,6,3.66 - 4.00,3.61 - 4.00,31%,75%,
Engineering,College Of Letters & science,Analytics,19,4,4,3.47 - 3.74,redacted,21%,100%,
Life Sciences,College Of Letters & science,Environmental Earth Science,25,18,4,3.38 - 3.82,redacted,72%,22%,
Life Sciences,College Of Letters & science,Geography,72,48,21,3.44 - 3.92,3.21 - 3.91,67%,44%,
Life Sciences,College Of Letters & science,Integrative Biology,210,88,41,3.53 - 3.88,3.52 - 3.89,42%,47%,
Life Sciences,College Of Letters & science,Molecular & Cell Biology,727,272,117,3.60 - 3.96,3.47 - 3.92,37%,43%,
Life Sciences,College Of Natural resources,Conservation & Resource Studies,44,25,13,3.42 - 3.83,3.29 - 3.93,57%,52%,
Life Sciences,College Of Natural resources,Ecosystem Management and Forestry - Forestry,16,6,5,3.31 - 3.61,3.37 - 3.63,38%,83%,
Life Sciences,College Of Natural resources,Environmental Economics & Policy,131,43,32,3.62 - 3.93,3.59 - 3.92,33%,74%,
Life Sciences,College Of Natural resources,Environmental Science,159,38,22,3.48 - 3.85,3.42 - 3.89,24%,58%,
Life Sciences,College Of Natural resources,Microbial Biology,183,70,23,3.59 - 3.87,3.46 - 3.85,38%,33%,
Life Sciences,College Of Natural resources,Molecular Environmental Biology,94,39,15,3.62 - 3.84,3.60 - 3.88,41%,38%,
Life Sciences,College Of Natural resources,Society and Environment,69,21,12,3.25 - 3.96,3.43 - 4.00,30%,57%,
Other/Interdisciplinary,College Of Letters & science,Ancient Greek and Roman Studies,14,7,4,3.50 - 4.00,redacted,50%,57%,
Other/Interdisciplinary,College Of Letters & science,Cognitive Science,290,64,44,3.70 - 3.95,3.68 - 3.93,22%,69%,
Other/Interdisciplinary,College Of Letters & science,Global Studies,160,43,21,3.66 - 3.94,3.59 - 3.90,27%,49%,
Other/Interdisciplinary,College Of Letters & science,Interdisciplinary Studies,106,48,32,3.47 - 3.87,3.44 - 3.86,45%,67%,
Other/Interdisciplinary,College Of Letters & science,Legal Studies,156,38,19,3.54 - 4.00,3.43 - 4.00,24%,50%,
Other/Interdisciplinary,College Of Letters & science,Media Studies,485,99,55,3.74 - 3.98,3.70 - 3.91,20%,56%,
Other/Interdisciplinary,College Of Natural resources,Nutritional Science,93,9,6,3.39 - 3.90,3.41 - 3.84,10%,67%,
Physical Sciences/Math,College Of Chemistry,Chemical Biology,184,35,10,3.66 - 3.95,3.45 - 3.88,19%,29%,
Physical Sciences/Math,College Of Chemistry,Chemistry,186,61,31,3.79 - 4.00,3.83 - 4.00,33%,51%,
Physical Sciences/Math,"Computing, Data Sci and Soc",Statistics,275,83,64,3.66 - 3.97,3.64 - 4.00,30%,77%,
Physical Sciences/Math,College Of Engineering,Materials Science & Engineering,31,8,4,3.80 - 3.97,redacted,26%,50%,
Physical Sciences/Math,College Of Letters & science,Applied Mathematics,481,243,157,3.72 - 4.00,3.65 - 3.97,51%,65%,
Physical Sciences/Math,College Of Letters & science,Astrophysics,67,37,24,3.42 - 3.85,3.38 - 3.83,55%,65%,
Physical Sciences/Math,College Of Letters & science,Chemistry,15,4,3,3.43 - 3.70,redacted,27%,75%,
Physical Sciences/Math,College Of Letters & science,Geology,19,16,5,3.55 - 3.83,3.71 - 3.76,84%,31%,
Physical Sciences/Math,College Of Letters & science,Marine Science,34,21,10,3.28 - 3.92,3.51 - 3.90,62%,48%,
Physical Sciences/Math,College Of Letters & science,Mathematics,189,106,74,3.54 - 3.96,3.51 - 3.96,56%,70%,
Physical Sciences/Math,College Of Letters & science,Physics,195,100,74,3.46 - 3.92,3.45 - 3.93,51%,74%,
Public Admin,College Of Letters & science,Social Welfare,93,20,14,3.64 - 3.88,3.62 - 3.83,22%,70%,
Public Health,College Of Letters & science,Public Health,250,33,17,3.72 - 3.92,3.64 - 3.91,13%,52%,
Social Sciences,College Of Environmental design,Urban Studies,41,13,11,3.78 - 4.00,3.72 - 3.98,32%,85%,
Social Sciences,College Of Letters & science,African-American Studies,27,7,4,3.05 - 3.42,redacted,26%,57%,
Social Sciences,College Of Letters & science,American Studies,68,40,35,3.04 - 3.80,2.95 - 3.81,59%,88%,
Social Sciences,College Of Letters & science,Anthropology,284,140,65,3.49 - 3.93,3.45 - 3.92,49%,46%,
Social Sciences,College Of Letters & science,Chicano Studies,15,7,3,3.24 - 3.58,redacted,47%,43%,
Social Sciences,College Of Letters & science,Chicanx Latinx Studies,8,5,4,3.27 - 3.75,redacted,63%,80%,
Social Sciences,College Of Letters & science,Economics,"1,387",281,188,3.81 - 4.00,3.76 - 4.00,20%,67%,
Social Sciences,College Of Letters & science,Ethnic Studies,24,11,6,3.20 - 3.72,3.11 - 3.72,46%,55%,
Social Sciences,College Of Letters & science,Gender & Women's Studies,47,24,14,3.74 - 4.00,3.76 - 3.95,51%,58%,
Social Sciences,College Of Letters & science,Political Economy,165,34,22,3.66 - 3.91,3.55 - 3.86,21%,65%,
Social Sciences,College Of Letters & science,Political Science,"1,024",236,114,3.73 - 4.00,3.66 - 3.95,23%,48%,
Social Sciences,College Of Letters & science,Psychology,"1,909",147,83,3.76 - 4.00,3.69 - 3.95,8%,56%,
Social Sciences,College Of Letters & science,Sociology,851,168,64,3.69 - 4.00,3.57 - 3.94,20%,38%,
Undeclared,College Of Letters & science,Undeclared,110,18,6,3.64 - 3.96,3.64 - 3.90,16%,33%,
