Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Pre-landscape architecture,106,70,15,3.40 - 3.79,3.37 - 3.75,66%,21%,
Arts & Humanities,College Of Letters & science,Art - studio,138,99,23,3.38 - 3.81,3.38 - 3.74,72%,23%,
Arts & Humanities,College Of Letters & science,Art history,56,37,6,3.38 - 3.85,3.36 - 3.74,66%,16%,
Arts & Humanities,College Of Letters & science,Cinema and digital media,181,116,16,3.32 - 3.79,3.24 - 3.70,64%,14%,
Arts & Humanities,College Of Letters & science,Design,191,137,65,3.47 - 3.84,3.46 - 3.81,72%,47%,
Arts & Humanities,College Of Letters & science,English,390,282,57,3.40 - 3.86,3.27 - 3.66,72%,20%,
Arts & Humanities,College Of Letters & science,History,258,188,60,3.39 - 3.86,3.25 - 3.72,73%,32%,
Arts & Humanities,College Of Letters & science,Japanese,36,23,4,3.60 - 3.91,masked,64%,17%,
Arts & Humanities,College Of Letters & science,Linguistics,83,66,13,3.45 - 3.87,3.33 - 3.87,80%,20%,
Arts & Humanities,College Of Letters & science,Music,39,28,4,3.41 - 3.78,masked,72%,14%,
Arts & Humanities,College Of Letters & science,Philosophy,169,104,17,3.48 - 3.91,3.27 - 3.66,62%,16%,
Arts & Humanities,College Of Letters & science,Spanish,31,20,7,3.30 - 3.67,3.29 - 3.49,65%,35%,
Arts & Humanities,College Of Letters & science,Theatre and dance,58,38,5,3.37 - 3.81,3.37 - 3.86,66%,13%,
Business,College Of Agric & environ sciences,Managerial economics,847,508,136,3.54 - 3.93,3.38 - 3.81,60%,27%,
Computer Science,College Of Letters & science,Computer science,"1,458",415,162,3.79 - 3.97,3.73 - 3.92,28%,39%,
Education,College Of Agric & environ sciences,Agricultural and environmental education,36,18,13,3.24 - 3.66,3.25 - 3.75,50%,72%,
Engineering,College Of Engineering,Aerospace science and engineering,171,23,5,3.58 - 3.87,3.58 - 3.76,13%,22%,
Engineering,College Of Engineering,Biomedical engineering,132,22,6,3.68 - 4.00,3.63 - 3.95,17%,27%,
Engineering,College Of Engineering,Chemical engineering,112,20,6,3.61 - 3.92,3.62 - 3.76,18%,30%,
Engineering,College Of Engineering,Civil engineering,245,62,18,3.59 - 3.94,3.45 - 3.82,25%,29%,
Engineering,College Of Engineering,Computer engineering,172,16,9,3.72 - 3.94,3.67 - 3.98,9%,56%,
Engineering,College Of Engineering,Computer science & engineering,572,19,4,3.70 - 3.99,masked,3%,21%,
Engineering,College Of Engineering,Engineering,232,76,21,3.58 - 3.91,3.58 - 3.80,33%,28%,
Engineering,College Of Engineering,Environmental engineering,32,6,4,3.69 - 3.94,masked,19%,67%,
Engineering,College Of Engineering,Mechanical engineering,425,83,24,3.60 - 3.89,3.43 - 3.76,20%,29%,
Life Sciences,College Of Agric & environ sciences,Animal biology,103,62,37,3.27 - 3.71,3.25 - 3.69,60%,60%,
Life Sciences,College Of Agric & environ sciences,Animal science & management,21,9,4,3.17 - 3.77,masked,43%,44%,
Life Sciences,College Of Agric & environ sciences,Animal sciences,254,161,115,3.27 - 3.69,3.28 - 3.69,63%,71%,
Life Sciences,College Of Agric & environ sciences,Biotechnology,60,34,24,3.36 - 3.71,3.39 - 3.80,57%,71%,
Life Sciences,College Of Agric & environ sciences,Entomology,15,5,3,3.28 - 3.73,masked,33%,60%,
Life Sciences,College Of Agric & environ sciences,Environ policy analysis & planning,71,42,15,3.31 - 3.79,3.22 - 3.72,59%,36%,
Life Sciences,College Of Agric & environ sciences,Environmental horticulture & urban forestry,30,21,10,3.33 - 3.74,3.23 - 3.61,70%,48%,
Life Sciences,College Of Agric & environ sciences,Environmental science and management,171,96,46,3.38 - 3.71,3.26 - 3.64,56%,48%,
