Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Pre-Landscape Architecture,115,81,20,3.35 - 3.83,3.35 - 3.82,70%,25%,
Arts & Humanities,College Of Letters & science,Art - Studio,152,107,30,3.30 - 3.90,3.30 - 3.90,70%,28%,
Arts & Humanities,College Of Letters & science,Cinema and Digital Media,193,125,19,3.37 - 3.83,3.38 - 3.82,65%,15%,
Arts & Humanities,College Of Letters & science,Design,265,207,106,3.46 - 3.91,3.45 - 3.91,78%,51%,
Arts & Humanities,College Of Letters & science,English,327,246,44,3.43 - 3.87,3.42 - 3.83,75%,18%,
Arts & Humanities,College Of Letters & science,History,179,135,29,3.41 - 3.90,3.36 - 3.90,75%,21%,
Arts & Humanities,College Of Letters & science,Linguistics,63,51,4,3.57 - 3.94,redacted,81%,8%,
Arts & Humanities,College Of Letters & science,Philosophy,182,128,17,3.40 - 3.89,3.36 - 3.68,70%,13%,
Arts & Humanities,College Of Letters & science,Theatre and Dance,59,32,5,3.40 - 3.76,3.37 - 3.57,54%,16%,
Education,College Of Agric & environ sciences,Agricultural and Environmental Education,53,25,6,3.36 - 3.86,3.41 - 3.78,47%,24%,
Engineering,College Of Agric & environ sciences,Agricultural and Environmental Technology,26,16,5,3.35 - 3.88,3.30 - 3.58,62%,31%,
Engineering,College Of Engineering,Aerospace Science and Engineering,154,41,9,3.71 - 3.90,3.64 - 3.84,27%,22%,
Engineering,College Of Engineering,Chemical Engineering,69,11,5,3.52 - 3.87,3.42 - 3.87,16%,45%,
Engineering,College Of Engineering,Civil Engineering,183,71,21,3.57 - 3.89,3.56 - 3.89,39%,30%,
Engineering,College Of Engineering,Computer Engineering,193,71,26,3.65 - 3.93,3.64 - 3.92,37%,37%,
Engineering,College Of Engineering,Computer Science & Engineering,223,62,19,3.69 - 3.95,3.72 - 3.94,28%,31%,
