Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,School Of Humanities,Art history,108,75,13,3.44 - 3.84,3.28 - 3.67,69%,17%,
Arts & Humanities,School Of Humanities,English,489,307,63,3.37 - 3.88,3.20 - 3.73,63%,21%,
Arts & Humanities,School Of Humanities,Film and media studies,611,404,96,3.47 - 3.89,3.36 - 3.76,66%,24%,
Arts & Humanities,School Of Humanities,History,321,212,40,3.44 - 3.90,3.10 - 3.82,66%,19%,
Arts & Humanities,School Of Humanities,Japanese language & literature,48,33,10,3.32 - 3.78,3.30 - 3.55,69%,30%,
Arts & Humanities,School Of Humanities,Korean literature and culture,29,18,8,3.45 - 3.87,3.30 - 3.77,62%,44%,
Arts & Humanities,School Of Humanities,Philosophy,219,131,16,3.34 - 3.90,3.08 - 3.32,60%,12%,
Arts & Humanities,School Of Humanities,Spanish,59,32,7,3.15 - 3.61,2.78 - 3.67,54%,22%,
Arts & Humanities,School Of The arts,Art,256,69,24,3.49 - 3.93,3.35 - 3.92,27%,35%,
Arts & Humanities,School Of The arts,Drama,202,86,33,3.63 - 3.92,3.61 - 3.92,43%,38%,
Business,School Of Administration,Business administration,"2,527",632,242,3.80 - 4.00,3.76 - 3.94,25%,38%,
Business,School Of Social sciences,Business economics,882,420,115,3.75 - 3.97,3.71 - 3.90,48%,27%,
Computer Science,Information & Computer Sci,Computer science,"2,137",433,186,3.85 - 4.00,3.77 - 4.00,20%,43%,
Computer Science,Information & Computer Sci,Game design and interactive media,206,34,17,3.61 - 3.92,3.48 - 3.88,17%,50%,
Computer Science,Information & Computer Sci,Informatics,94,36,23,3.54 - 3.94,3.49 - 3.97,38%,64%,
Education,School Of Biological sciences,Biology/education,60,12,3,3.25 - 3.53,masked,20%,25%,
Education,School Of Education,Education sciences,286,162,59,3.41 - 3.84,3.41 - 3.78,57%,36%,
Engineering,Information & Computer Sci,Software engineering,211,107,63,3.64 - 3.85,3.53 - 3.79,51%,59%,
Engineering,Interdisciplinary Studies,Computer science & engineering,344,72,26,3.86 - 4.00,3.82 - 4.00,21%,36%,
Engineering,School Of Engineering,Aerospace engineering,196,67,29,3.55 - 3.90,3.52 - 3.76,34%,43%,
Engineering,School Of Engineering,Biomedical engineering,139,63,21,3.51 - 3.84,3.39 - 3.68,45%,33%,
Engineering,School Of Engineering,Chemical engineering,107,50,19,3.48 - 3.86,3.45 - 3.79,47%,38%,
Engineering,School Of Engineering,Computer engineering,308,118,40,3.62 - 3.96,3.56 - 3.81,38%,34%,
Engineering,School Of Engineering,Engineering - civil,219,83,34,3.47 - 3.75,3.39 - 3.68,38%,41%,
Engineering,School Of Engineering,Engineering - electrical,300,122,31,3.51 - 3.92,3.46 - 3.69,41%,25%,
Engineering,School Of Engineering,Engineering - mechanical,594,214,77,3.60 - 3.91,3.58 - 3.79,36%,36%,
Engineering,School Of Engineering,Environmental engineering,42,14,3,3.47 - 3.93,masked,33%,21%,
Life Sciences,School Of Biological sciences,Biological sciences,"1,830",809,223,3.45 - 3.87,3.34 - 3.78,44%,28%,
Life Sciences,School Of Physical sciences,Environmental science and policy,129,74,17,3.47 - 3.85,3.44 - 3.83,57%,23%,
Nursing,School Of Nursing,Nursing science,343,7,3,3.94 - 3.95,masked,2%,43%,
Other/Interdisciplinary,Information & Computer Sci,Data science,294,122,22,3.72 - 3.95,3.63 - 3.83,41%,18%,
Other/Interdisciplinary,School Of Humanities,Global cultures,39,25,10,3.17 - 3.74,2.75 - 3.48,64%,40%,
Other/Interdisciplinary,School Of Humanities,Literary journalism,104,50,16,3.58 - 4.00,3.45 - 3.87,48%,32%,
Other/Interdisciplinary,School Of Social sciences,International studies,248,152,44,3.42 - 3.85,3.17 - 3.72,61%,29%,
Other/Interdisciplinary,Social Ecology,Social ecology,89,60,25,3.18 - 3.74,3.13 - 3.72,67%,42%,
Pharmacy,School Of Pharmacy & pharm sciences,Pharmaceutical science,79,15,10,3.74 - 3.90,3.73 - 3.88,19%,67%,
Physical Sciences/Math,School Of Physical sciences,Applied physics,26,14,4,3.26 - 3.80,masked,54%,29%,
Physical Sciences/Math,School Of Physical sciences,Chemistry,320,188,58,3.52 - 3.91,3.53 - 3.90,59%,31%,
Physical Sciences/Math,School Of Physical sciences,Earth system science,57,23,5,3.39 - 3.71,3.51 - 3.53,40%,22%,
Physical Sciences/Math,School Of Physical sciences,Mathematics,540,383,68,3.59 - 3.94,3.44 - 3.78,71%,18%,
Physical Sciences/Math,School Of Physical sciences,Physics,140,71,11,3.55 - 3.90,3.18 - 3.66,51%,15%,
Public Health,School Of Public health,Public health policy,179,139,57,3.41 - 3.80,3.33 - 3.75,78%,41%,
Public Health,School Of Public health,Public health sciences,350,167,67,3.51 - 3.84,3.44 - 3.82,48%,40%,
Social Sciences,School Of Humanities,Chinese studies,37,17,4,3.61 - 4.00,masked,46%,24%,
Social Sciences,School Of Humanities,East asian cultures,67,23,6,3.59 - 3.95,3.25 - 3.81,34%,26%,
Social Sciences,School Of Social sciences,Anthropology,205,132,26,3.24 - 3.88,3.09 - 3.55,64%,20%,
Social Sciences,School Of Social sciences,Chicano/latino studies,14,8,3,3.10 - 3.74,masked,57%,38%,
Social Sciences,School Of Social sciences,Economics,724,319,40,3.74 - 3.96,3.69 - 3.93,44%,13%,
Social Sciences,School Of Social sciences,Language science,79,58,9,3.52 - 3.95,3.47 - 3.92,73%,16%,
Social Sciences,School Of Social sciences,Political science,790,492,99,3.44 - 3.91,3.22 - 3.65,62%,20%,
Social Sciences,School Of Social sciences,Psychology,923,60,19,3.65 - 3.94,3.63 - 3.89,7%,32%,
Social Sciences,School Of Social sciences,Social policy and public service,81,53,18,3.30 - 3.89,3.21 - 3.54,65%,34%,
Social Sciences,School Of Social sciences,Sociology,902,591,158,3.37 - 3.89,3.12 - 3.68,66%,27%,
Social Sciences,Social Ecology,"Criminolgy, law & society",480,258,132,3.43 - 3.87,3.35 - 3.86,54%,51%,
Social Sciences,Social Ecology,Psychological science,"1,136",846,379,3.52 - 3.91,3.44 - 3.85,74%,45%,
Social Sciences,Social Ecology,Urban studies,65,49,14,3.37 - 3.89,3.26 - 3.64,75%,29%,
Undeclared,Unaffiliated,Undeclared,65,22,6,3.33 - 3.96,3.36 - 3.71,34%,27%,
