Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,School Of Humanities,Art History,135,95,22,3.43 - 3.93,3.28 - 3.88,70%,23%,
Arts & Humanities,School Of Humanities,History,292,228,50,3.45 - 3.92,3.33 - 3.65,78%,22%,
Arts & Humanities,School Of Humanities,Philosophy,251,193,33,3.40 - 3.87,3.27 - 3.74,77%,17%,
Arts & Humanities,School Of Humanities,Spanish,44,20,3,3.49 - 3.87,redacted,45%,15%,
Arts & Humanities,School Of The arts,Art,242,67,30,3.36 - 3.92,3.35 - 3.91,28%,45%,
Arts & Humanities,School Of The arts,Drama,233,72,31,3.50 - 3.90,3.51 - 3.80,31%,43%,
Business,Information & Computer Sci,Business Information Management,133,6,4,3.86 - 3.95,redacted,5%,67%,
Computer Science,Information & Computer Sci,Game Design and Interactive Media,233,18,7,3.85 - 3.98,3.85 - 3.99,8%,39%,
Computer Science,Information & Computer Sci,Informatics,103,22,14,3.64 - 3.91,3.61 - 3.92,21%,64%,
Education,School Of Biological sciences,Biology/Education,67,15,8,3.65 - 3.89,3.57 - 3.86,22%,53%,
Education,School Of Education,Education Sciences,264,162,36,3.40 - 3.89,3.37 - 3.84,61%,22%,
Engineering,School Of Engineering,Aerospace Engineering,224,83,19,3.51 - 3.88,3.48 - 3.78,37%,23%,
Engineering,School Of Engineering,Biomedical Engineering,139,56,16,3.61 - 3.92,3.61 - 3.81,40%,29%,
Engineering,School Of Engineering,Chemical Engineering,141,68,10,3.55 - 3.91,3.44 - 3.56,48%,15%,
Engineering,School Of Engineering,Computer Engineering,531,203,73,3.67 - 3.94,3.56 - 3.83,38%,36%,
Engineering,School Of Engineering,Engineering - Civil,231,88,26,3.57 - 3.88,3.49 - 3.70,38%,30%,
Engineering,School Of Engineering,Engineering - Electrical,425,159,44,3.60 - 3.96,3.53 - 3.77,37%,28%,
Engineering,School Of Engineering,Engineering - Mechanical,740,214,74,3.60 - 3.92,3.52 - 3.73,29%,35%,
Engineering,School Of Engineering,Environmental Engineering,56,16,4,3.54 - 3.93,redacted,29%,25%,
Engineering,School Of Engineering,Materials Science & Engineering,40,14,4,3.55 - 3.91,redacted,35%,29%,
Engineering,Information & Computer Sci,Software Engineering,221,57,31,3.77 - 3.94,3.77 - 3.94,26%,54%,
Engineering,Interdisciplinary Studies,Computer Science & Engineering,370,66,21,3.81 - 4.00,3.89 - 4.00,18%,32%,
Life Sciences,School Of Biological sciences,Ecology & Evolutionary Biology,72,9,4,3.69 - 3.87,redacted,13%,44%,
Life Sciences,School Of Physical sciences,Environmental Science and Policy,143,78,14,3.41 - 3.84,3.41 - 3.72,55%,18%,
Nursing,School Of Nursing,Nursing Science,337,14,10,3.78 - 3.99,3.78 - 3.98,4%,71%,
Other/Interdisciplinary,School Of Humanities,Global Cultures,37,28,11,3.64 - 3.93,3.64 - 3.93,76%,39%,
Other/Interdisciplinary,School Of Humanities,Literary Journalism,124,76,16,3.37 - 3.87,3.31 - 3.80,61%,21%,
Other/Interdisciplinary,Information & Computer Sci,Data Science,474,99,14,3.76 - 4.00,3.60 - 3.90,21%,14%,
Other/Interdisciplinary,Social Ecology,Social Ecology,82,56,19,3.30 - 3.70,3.33 - 3.66,68%,34%,
Other/Interdisciplinary,School Of Social sciences,Cognitive Sciences,179,38,3,3.72 - 4.00,redacted,21%,8%,
Other/Interdisciplinary,School Of Social sciences,International Studies,239,169,39,3.43 - 3.89,3.32 - 3.81,71%,23%,
Pharmacy,School Of Pharmacy & pharm sciences,Pharmaceutical Science,97,16,7,3.77 - 3.95,3.80 - 3.91,16%,44%,
Physical Sciences/Math,School Of Physical sciences,Applied Physics,34,12,4,3.43 - 3.71,redacted,35%,33%,
Physical Sciences/Math,School Of Physical sciences,Chemistry,365,188,59,3.50 - 3.93,3.38 - 3.79,52%,31%,
Physical Sciences/Math,School Of Physical sciences,Physics,169,84,19,3.49 - 3.88,3.25 - 3.59,50%,23%,
Public Health,School Of Public health,Public Health Policy,200,140,63,3.37 - 3.83,3.34 - 3.82,70%,45%,
Public Health,School Of Public health,Public Health Sciences,356,162,57,3.50 - 3.90,3.45 - 3.83,46%,35%,
Social Sciences,School Of Humanities,East Asian Cultures,64,35,4,3.70 - 3.98,redacted,55%,11%,
Social Sciences,School Of Humanities,Gender and Sexuality Studies,43,29,5,3.49 - 3.94,3.50 - 3.52,67%,17%,
Social Sciences,Social Ecology,Urban Studies,99,76,16,3.33 - 3.88,3.24 - 3.57,77%,21%,
Social Sciences,School Of Social sciences,Anthropology,217,156,28,3.25 - 3.87,3.10 - 3.80,72%,18%,
Social Sciences,School Of Social sciences,Language Science,79,55,6,3.50 - 3.93,3.37 - 3.74,70%,11%,
Social Sciences,School Of Social sciences,Psychology,"1,197",98,37,3.52 - 3.90,3.47 - 3.73,8%,38%,
Social Sciences,School Of Social sciences,Quantitative Economics,69,29,4,3.81 - 4.00,redacted,42%,14%,
Social Sciences,School Of Social sciences,Social Policy and Public Service,88,61,13,3.30 - 3.87,3.37 - 3.83,69%,21%,
Undeclared,Unaffiliated,Undeclared,72,7,6,2.83 - 3.44,2.75 - 3.14,10%,86%,
