Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,School Of The arts & architecture,Architectural studies,181,27,14,3.53 - 3.91,3.55 - 3.87,15%,52%,
Arts & Humanities,College Of Letters & science,American literature & culture,39,26,20,3.19 - 3.49,3.18 - 3.41,67%,77%,
Arts & Humanities,College Of Letters & science,Applied linguistics,16,9,6,3.56 - 3.81,3.68 - 3.80,56%,67%,
Arts & Humanities,College Of Letters & science,Art history,124,86,54,3.39 - 3.84,3.37 - 3.79,69%,63%,
Arts & Humanities,College Of Letters & science,Chinese,45,20,9,3.37 - 3.75,3.49 - 3.62,44%,45%,
Arts & Humanities,College Of Letters & science,Comparative literature,58,35,27,3.33 - 3.73,3.32 - 3.71,60%,77%,
Arts & Humanities,College Of Letters & science,English,594,231,123,3.56 - 3.86,3.55 - 3.87,39%,53%,
Arts & Humanities,College Of Letters & science,French,26,18,13,3.44 - 3.78,3.44 - 3.63,69%,72%,
Arts & Humanities,College Of Letters & science,French & linguistics,9,6,4,3.38 - 3.72,masked,67%,67%,
Arts & Humanities,College Of Letters & science,Italian,10,6,3,3.09 - 3.33,masked,60%,50%,
Arts & Humanities,College Of Letters & science,Japanese,79,50,29,3.33 - 3.72,3.26 - 3.67,63%,58%,
Arts & Humanities,College Of Letters & science,Jewish studies,15,8,4,3.28 - 3.69,masked,53%,50%,
Arts & Humanities,College Of Letters & science,Korean,16,7,7,3.23 - 3.63,3.23 - 3.63,44%,100%,
Arts & Humanities,College Of Letters & science,Linguistics,134,80,58,3.42 - 3.82,3.36 - 3.75,60%,73%,
Arts & Humanities,College Of Letters & science,Linguistics & anthropology,17,9,6,3.34 - 3.66,3.28 - 3.54,53%,67%,
Arts & Humanities,College Of Letters & science,Linguistics & asian languages & cultures,27,17,12,3.52 - 3.77,3.50 - 3.87,63%,71%,
Arts & Humanities,College Of Letters & science,Linguistics & computer science,24,10,5,3.51 - 3.65,3.33 - 3.63,42%,50%,
Arts & Humanities,College Of Letters & science,Linguistics & psychology,38,18,16,3.36 - 3.82,3.37 - 3.77,47%,89%,
Arts & Humanities,College Of Letters & science,Music history,21,13,9,3.58 - 3.89,3.55 - 3.86,62%,69%,
