Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,School Of The arts & architecture,Architectural Studies,298,22,13,3.64 - 4.00,3.52 - 4.00,7%,59%,
Arts & Humanities,College Of Letters & science,American Literature & Culture,22,10,3,3.66 - 3.98,redacted,45%,30%,
Arts & Humanities,College Of Letters & science,Art History,157,91,46,3.66 - 4.00,3.61 - 4.00,58%,51%,
Arts & Humanities,College Of Letters & science,Asian Languages and Linguistics,44,15,7,3.63 - 3.90,3.82 - 3.95,34%,47%,
Arts & Humanities,College Of Letters & science,Chinese,24,9,5,3.73 - 3.93,3.73 - 3.93,38%,56%,
Arts & Humanities,College Of Letters & science,Comparative Literature,33,14,8,3.68 - 3.94,3.67 - 3.93,42%,57%,
Arts & Humanities,College Of Letters & science,Japanese,38,19,8,3.50 - 3.89,3.76 - 3.93,50%,42%,
Arts & Humanities,College Of Letters & science,Korean,9,4,3,3.82 - 4.00,redacted,44%,75%,
Arts & Humanities,College Of Letters & science,Linguistics,71,33,20,3.72 - 3.98,3.68 - 3.95,46%,61%,
Arts & Humanities,College Of Letters & science,Linguistics - English,13,8,6,3.68 - 3.90,3.57 - 3.84,62%,75%,
Arts & Humanities,College Of Letters & science,Linguistics & Asian Languages & Cultures,21,9,7,3.85 - 3.94,3.85 - 3.97,43%,78%,
Arts & Humanities,College Of Letters & science,Linguistics & Computer Science,214,85,58,3.65 - 3.94,3.62 - 3.93,40%,68%,
Arts & Humanities,College Of Letters & science,Linguistics & Psychology,87,38,20,3.66 - 4.00,3.61 - 3.94,44%,53%,
Arts & Humanities,College Of Letters & science,Linguistics & Spanish,7,3,3,3.72 - 3.92,redacted,43%,100%,
Arts & Humanities,College Of Letters & science,Philosophy,339,191,116,3.62 - 3.91,3.58 - 3.89,56%,61%,
Arts & Humanities,College Of Letters & science,Pre-History,400,231,148,3.66 - 4.00,3.66 - 4.00,58%,64%,
Arts & Humanities,College Of Letters & science,Spanish,40,21,14,3.52 - 3.88,3.51 - 3.97,53%,67%,
Arts & Humanities,College Of Letters & science,Spanish & Linguistics,11,5,3,3.56 - 3.84,redacted,45%,60%,
Arts & Humanities,School Of Music,Global Jazz Studies,44,8,5,3.51 - 3.86,3.49 - 3.93,18%,63%,
Arts & Humanities,School Of Music,Music Industry,94,11,10,3.65 - 3.91,3.63 - 3.91,12%,91%,
Arts & Humanities,School Of Music,Music Performance,48,10,7,3.78 - 3.97,3.69 - 3.97,21%,70%,
Arts & Humanities,School Of Music,Musicology,13,6,6,3.43 - 3.74,3.43 - 3.74,46%,100%,
Arts & Humanities,School Of The arts & architecture,Art,337,25,19,3.35 - 3.91,3.34 - 3.90,7%,76%,
Arts & Humanities,School Of The arts & architecture,Dance,37,6,4,3.37 - 3.75,redacted,16%,67%,
Arts & Humanities,School Of The arts & architecture,Design Media Arts,345,20,18,3.62 - 3.95,3.55 - 3.94,6%,90%,
Arts & Humanities,School Of The arts & architecture,World Arts & Culture,63,16,10,3.32 - 3.70,3.29 - 3.68,25%,63%,
Arts & Humanities,"School Of Theater, film and television",Film & Television,728,14,11,3.86 - 3.98,3.86 - 3.92,2%,79%,
Arts & Humanities,"School Of Theater, film and television",Theater,312,13,12,3.71 - 4.00,3.76 - 4.00,4%,92%,
Business,College Of Letters & science,Labor Studies,48,22,19,3.56 - 3.84,3.57 - 3.85,46%,86%,
Computer Science,School Of Engineering & applied sci,Computer Science,"2,070",66,44,3.96 - 4.00,3.95 - 4.00,3%,67%,
Education,College Of Letters & science,Pre-Education and Social Transformation,202,103,58,3.55 - 3.93,3.55 - 3.93,51%,56%,
Engineering,School Of Engineering & applied sci,Aerospace Engineering,224,25,14,3.78 - 3.98,3.74 - 3.97,11%,56%,
Engineering,School Of Engineering & applied sci,Bioengineering,150,18,9,3.92 - 4.00,3.93 - 3.95,12%,50%,
Engineering,School Of Engineering & applied sci,Chemical Engineering,134,35,22,3.82 - 3.96,3.83 - 3.96,26%,63%,
Engineering,School Of Engineering & applied sci,Civil Engineering,203,54,22,3.78 - 3.93,3.78 - 3.89,27%,41%,
Engineering,School Of Engineering & applied sci,Computer Engineering,253,21,9,3.93 - 4.00,3.90 - 4.00,8%,43%,
Engineering,School Of Engineering & applied sci,Computer Science & Engineering,363,31,12,4.00 - 4.00,3.98 - 4.00,9%,39%,
Engineering,School Of Engineering & applied sci,Electrical Engineering,450,103,62,3.89 - 4.00,3.88 - 4.00,23%,60%,
Engineering,School Of Engineering & applied sci,Materials Engineering,45,15,8,3.80 - 4.00,3.78 - 4.00,33%,53%,
Engineering,School Of Engineering & applied sci,Mechanical Engineering,631,88,40,3.91 - 4.00,3.90 - 3.99,14%,45%,
Engineering,College Of Letters & science,Engineering Geology,5,3,3,3.44 - 3.70,redacted,60%,100%,
Life Sciences,College Of Letters & science,Biochemistry,339,100,66,3.80 - 3.96,3.80 - 3.96,29%,66%,
Life Sciences,College Of Letters & science,Biology,"1,115",226,139,3.80 - 4.00,3.80 - 4.00,20%,62%,
Life Sciences,College Of Letters & science,"Ecology, Behavior & Evolution",50,9,4,3.85 - 3.92,redacted,18%,44%,
Life Sciences,College Of Letters & science,Environmental Science,116,39,19,3.66 - 3.85,3.54 - 3.86,34%,49%,
Life Sciences,College Of Letters & science,Microbiology - Immunology - Molecular Genetics,152,50,32,3.81 - 4.00,3.75 - 3.91,33%,64%,
Life Sciences,College Of Letters & science,"Molecular, Cell, & Developmental Biology",222,77,54,3.84 - 4.00,3.80 - 4.00,35%,70%,
Life Sciences,College Of Letters & science,Neuroscience,204,40,21,3.88 - 4.00,3.85 - 3.98,20%,53%,
Life Sciences,College Of Letters & science,Physiological Science,121,28,21,3.72 - 3.96,3.81 - 3.96,23%,75%,
Life Sciences,College Of Letters & science,Pre-Computational & Systems Biology,38,18,8,3.61 - 3.90,3.55 - 3.92,47%,44%,
Nursing,School Of Nursing,Nursing - Four Year Program,307,21,18,3.77 - 3.95,3.78 - 3.95,7%,86%,
Other Health Science,College Of Letters & science,Pre-Public Health,354,34,20,3.76 - 4.00,3.77 - 3.96,10%,59%,
Other/Interdisciplinary,College Of Letters & science,Applied Linguistics,47,27,19,3.70 - 3.99,3.63 - 3.93,57%,70%,
Other/Interdisciplinary,College Of Letters & science,Classical Civilization,12,3,3,3.41 - 3.77,redacted,25%,100%,
Other/Interdisciplinary,College Of Letters & science,Communication,"1,139",136,89,3.94 - 4.00,3.94 - 4.00,12%,65%,
Other/Interdisciplinary,College Of Letters & science,Geography/Environmental Studies,76,41,27,3.45 - 3.82,3.49 - 3.85,54%,66%,
Other/Interdisciplinary,College Of Letters & science,Pre Human Biology and Society,149,36,28,3.82 - 4.00,3.77 - 3.98,24%,78%,
Other/Interdisciplinary,College Of Letters & science,Pre-Cognitive Science,321,75,43,3.81 - 4.00,3.80 - 3.97,23%,57%,
Other/Interdisciplinary,College Of Letters & science,Pre-Global Studies,139,50,29,3.65 - 3.96,3.72 - 3.96,36%,58%,
Physical Sciences/Math,College Of Letters & science,Astrophysics,81,17,3,3.70 - 3.90,redacted,21%,18%,
Physical Sciences/Math,College Of Letters & science,Chemistry,198,57,23,3.76 - 3.99,3.72 - 3.93,29%,40%,
Physical Sciences/Math,College Of Letters & science,Earth and Environmental Science,48,13,8,3.58 - 3.86,3.57 - 3.89,27%,62%,
Physical Sciences/Math,College Of Letters & science,Geology,23,8,3,3.59 - 3.84,redacted,35%,38%,
Physical Sciences/Math,College Of Letters & science,Physics,189,61,25,3.76 - 4.00,3.74 - 3.94,32%,41%,
Physical Sciences/Math,College Of Letters & science,Pre-Applied Mathematics,237,98,43,3.86 - 4.00,3.86 - 4.00,41%,44%,
Physical Sciences/Math,College Of Letters & science,Pre-Data Theory,285,103,58,3.87 - 4.00,3.89 - 4.00,36%,56%,
Physical Sciences/Math,College Of Letters & science,Pre-Financial Actuarial Mathematics,76,20,15,3.92 - 4.00,3.92 - 4.00,26%,75%,
Physical Sciences/Math,College Of Letters & science,Pre-Mathematics,205,68,32,3.86 - 4.00,3.86 - 3.96,33%,47%,
Physical Sciences/Math,College Of Letters & science,Pre-Mathematics of Computation,200,93,50,3.84 - 4.00,3.83 - 3.95,47%,54%,
Physical Sciences/Math,College Of Letters & science,Pre-Mathematics/Applied Science,21,8,3,3.84 - 3.95,redacted,38%,38%,
Physical Sciences/Math,College Of Letters & science,Pre-Mathematics/Economics,128,41,24,3.86 - 4.00,3.86 - 4.00,32%,59%,
Physical Sciences/Math,College Of Letters & science,Pre-Statistics and Data Science,501,130,77,3.93 - 4.00,3.90 - 4.00,26%,59%,
Public Admin,College Of Letters & science,Pre-Public Affairs,105,25,21,3.53 - 3.81,3.52 - 3.78,24%,84%,
Social Sciences,College Of Letters & science,African American Studies,48,16,7,3.18 - 3.62,3.20 - 3.62,33%,44%,
Social Sciences,College Of Letters & science,Anthropology,359,199,116,3.56 - 3.93,3.56 - 3.91,55%,58%,
Social Sciences,College Of Letters & science,Asian American Studies,36,11,8,3.73 - 3.90,3.70 - 3.84,31%,73%,
Social Sciences,College Of Letters & science,Asian Humanities,25,9,6,3.47 - 3.86,3.36 - 3.76,36%,67%,
Social Sciences,College Of Letters & science,Asian Studies,42,13,7,3.82 - 3.92,3.80 - 3.90,31%,54%,
Social Sciences,College Of Letters & science,Chicana & Chicano Studies,47,18,8,3.33 - 3.71,3.46 - 3.68,38%,44%,
Social Sciences,College Of Letters & science,Gender Studies,116,65,45,3.58 - 3.91,3.53 - 3.91,56%,69%,
Social Sciences,College Of Letters & science,Geography,85,55,25,3.64 - 3.95,3.59 - 3.94,65%,45%,
Social Sciences,College Of Letters & science,Pre International Development Studies,62,19,16,3.75 - 3.94,3.75 - 3.94,31%,84%,
Social Sciences,College Of Letters & science,Pre-Economics,"1,311",237,164,3.85 - 4.00,3.84 - 4.00,18%,69%,
Social Sciences,College Of Letters & science,Pre-Psychobiology,179,33,27,3.82 - 4.00,3.83 - 4.00,18%,82%,
