Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,History,60,27,3,3.01 - 3.56,masked,45%,11%,
Business,Not applicable,Management,150,75,6,3.04 - 3.60,2.75 - 3.13,50%,8%,
Engineering,Not applicable,Bioengineering,45,16,4,3.22 - 3.74,masked,36%,25%,
Engineering,Not applicable,Computer science & engineering,204,65,7,3.05 - 3.58,2.87 - 3.29,32%,11%,
Engineering,Not applicable,Environmental engineering,31,9,4,3.05 - 3.58,masked,29%,44%,
Engineering,Not applicable,Mechanical engineering,143,77,11,3.03 - 3.63,2.88 - 3.52,54%,14%,
Life Sciences,Not applicable,Biological sciences,331,51,8,3.01 - 3.45,2.76 - 3.46,15%,16%,
Physical Sciences/Math,Not applicable,Applied mathematics,48,9,3,3.14 - 3.44,masked,19%,33%,
Physical Sciences/Math,Not applicable,Chemical sciences,122,28,3,3.07 - 3.45,masked,23%,11%,
Physical Sciences/Math,Not applicable,Physics,30,8,3,2.93 - 3.48,masked,27%,38%,
Social Sciences,Not applicable,Anthropology,82,49,7,2.93 - 3.51,2.65 - 3.16,60%,14%,
Social Sciences,Not applicable,Economics,221,106,4,3.02 - 3.63,masked,48%,4%,
Social Sciences,Not applicable,Psychology,351,200,30,2.90 - 3.52,2.76 - 3.24,57%,15%,
Undeclared,Not applicable,Undeclared,239,239,9,2.96 - 3.56,2.73 - 3.48,100%,4%,
