Broad discipline,College/School,Major name,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,English,105,66,3,2.77 - 3.61,redacted,63%,5%,
Arts & Humanities,Not applicable,History,68,47,3,2.92 - 3.69,redacted,69%,6%,
Business,Not applicable,Management and Business Economics,217,126,8,2.88 - 3.55,2.82 - 3.15,58%,6%,
Engineering,Not applicable,Computer Science & Engineering,505,141,19,3.05 - 3.70,2.75 - 3.38,28%,13%,
Engineering,Not applicable,Environmental Engineering,50,23,4,2.94 - 3.69,redacted,46%,17%,
Engineering,Not applicable,Mechanical Engineering,224,136,25,2.85 - 3.38,2.71 - 3.16,61%,18%,
Life Sciences,Not applicable,Biological Sciences,420,101,9,3.08 - 3.67,3.24 - 3.85,24%,9%,
Other/Interdisciplinary,Not applicable,Cognitive Science,56,25,3,2.91 - 3.50,redacted,45%,12%,
Public Health,Not applicable,Public Health,91,53,8,2.77 - 3.44,2.76 - 3.03,58%,15%,
Social Sciences,Not applicable,Anthropology,66,45,5,2.67 - 3.65,3.31 - 3.77,68%,11%,
Social Sciences,Not applicable,Economics,317,230,5,2.98 - 3.56,2.81 - 2.91,73%,2%,
Social Sciences,Not applicable,Political Science,178,139,11,2.74 - 3.37,3.00 - 3.88,78%,8%,
Undeclared,Not applicable,Undeclared,276,271,15,2.85 - 3.48,2.75 - 3.21,98%,6%,
