Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,History,73,48,5,2.81 - 3.57,2.73 - 3.07,66%,10%,
Arts & Humanities,Not applicable,Philosophy,26,16,4,2.80 - 3.71,masked,62%,25%,
Business,Not applicable,Management and business economics,331,157,5,2.94 - 3.55,2.96 - 3.04,47%,3%,
Engineering,Not applicable,Bioengineering,70,32,3,3.02 - 3.77,masked,46%,9%,
Engineering,Not applicable,Computer science & engineering,545,149,22,3.12 - 3.70,2.85 - 3.36,27%,15%,
Engineering,Not applicable,Environmental engineering,53,33,7,2.92 - 3.65,3.03 - 3.42,62%,21%,
Engineering,Not applicable,Materials science & engineering,24,11,3,3.05 - 3.58,masked,46%,27%,
Engineering,Not applicable,Mechanical engineering,212,119,18,2.86 - 3.46,2.69 - 3.09,56%,15%,
Life Sciences,Not applicable,Biological sciences,422,105,8,3.05 - 3.67,2.86 - 3.49,25%,8%,
Physical Sciences/Math,Not applicable,Applied mathematics,139,63,3,3.04 - 3.64,masked,45%,5%,
Physical Sciences/Math,Not applicable,Chemical sciences,116,44,7,2.90 - 3.62,3.03 - 3.32,38%,16%,
Public Health,Not applicable,Public health,121,77,13,2.93 - 3.47,2.60 - 3.47,64%,17%,
Social Sciences,Not applicable,Anthropology,88,58,3,2.99 - 3.68,masked,66%,5%,
Social Sciences,Not applicable,Economics,146,94,3,2.92 - 3.57,masked,64%,3%,
Social Sciences,Not applicable,Political science,208,138,9,2.84 - 3.49,2.92 - 3.61,66%,7%,
Social Sciences,Not applicable,Psychology,577,364,58,2.87 - 3.56,2.62 - 3.31,63%,16%,
Social Sciences,Not applicable,Sociology,241,154,8,2.85 - 3.48,2.84 - 3.19,64%,5%,
Undeclared,Not applicable,Undeclared,224,211,13,2.86 - 3.56,2.55 - 3.15,94%,6%,
Unknown,Not applicable,Invalid ccm combination,5,5,3,2.76 - 3.41,masked,100%,60%,
