Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Global Arts Studies,91,56,5,3.14 - 3.69,3.13 - 3.95,62%,9%,
Arts & Humanities,Not applicable,History,59,40,3,3.19 - 3.68,redacted,68%,8%,
Arts & Humanities,Not applicable,Literatures in English,76,44,7,3.31 - 3.87,3.29 - 3.75,58%,16%,
Business,Not applicable,Management and Business Economics,354,226,12,3.13 - 3.77,2.97 - 3.73,64%,5%,
Engineering,Not applicable,Civil Engineering,69,44,3,3.16 - 3.78,redacted,64%,7%,
Engineering,Not applicable,Computer Science & Engineering,413,182,23,3.33 - 3.82,3.16 - 3.61,44%,13%,
Engineering,Not applicable,Mechanical Engineering,179,112,18,3.11 - 3.67,2.89 - 3.43,63%,16%,
Life Sciences,Not applicable,Biological Sciences,368,212,21,3.15 - 3.71,2.97 - 3.50,58%,10%,
Other/Interdisciplinary,Not applicable,Cognitive Science,50,32,4,3.22 - 3.84,redacted,64%,13%,
Physical Sciences/Math,Not applicable,Applied Mathematics,380,183,12,3.33 - 3.79,3.15 - 3.62,48%,7%,
Physical Sciences/Math,Not applicable,Chemical Sciences,96,43,8,3.23 - 3.86,3.17 - 3.65,45%,19%,
Physical Sciences/Math,Not applicable,Physics,60,36,4,3.26 - 3.63,redacted,60%,11%,
Public Health,Not applicable,Public Health,109,75,7,3.21 - 3.70,3.29 - 3.67,69%,9%,
Social Sciences,Not applicable,Economics,229,165,8,3.24 - 3.80,2.90 - 3.49,72%,5%,
Social Sciences,Not applicable,Political Science,160,130,3,3.09 - 3.73,redacted,81%,2%,
Social Sciences,Not applicable,Sociology,148,108,5,3.10 - 3.70,2.85 - 3.14,73%,5%,
Undeclared,Not applicable,Undeclared,228,191,20,3.11 - 3.63,3.47 - 3.65,84%,10%,
