Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Humanities & social sci,Art,99,40,8,3.32 - 3.83,2.99 - 3.93,40%,20%,
Arts & Humanities,College Of Humanities & social sci,Art history,71,59,5,3.02 - 3.76,2.62 - 3.21,83%,8%,
Arts & Humanities,College Of Humanities & social sci,Creative writing,94,72,26,3.10 - 3.79,3.13 - 3.87,77%,36%,
Arts & Humanities,College Of Humanities & social sci,Dance,25,16,5,3.13 - 3.36,3.17 - 3.35,64%,31%,
Arts & Humanities,College Of Humanities & social sci,English,347,282,66,2.98 - 3.69,2.83 - 3.54,81%,23%,
Arts & Humanities,College Of Humanities & social sci,History,256,209,50,3.00 - 3.57,2.64 - 3.41,82%,24%,
Arts & Humanities,College Of Humanities & social sci,Japanese language & literature,36,32,8,2.96 - 3.47,2.88 - 3.18,89%,25%,
Arts & Humanities,College Of Humanities & social sci,Language,8,7,4,2.85 - 3.56,masked,88%,57%,
Arts & Humanities,College Of Humanities & social sci,Liberal studies,107,78,26,2.94 - 3.64,2.75 - 3.36,73%,33%,
Arts & Humanities,College Of Humanities & social sci,Linguistics,90,76,14,3.03 - 3.77,2.88 - 3.43,84%,18%,
Arts & Humanities,College Of Humanities & social sci,Media and cultural studies,160,138,20,2.97 - 3.69,2.65 - 3.22,86%,14%,
Arts & Humanities,College Of Humanities & social sci,Music,67,47,9,3.12 - 3.65,2.84 - 3.39,70%,19%,
Arts & Humanities,College Of Humanities & social sci,Philosophy,138,117,11,3.05 - 3.67,3.09 - 3.49,85%,9%,
Arts & Humanities,College Of Humanities & social sci,Spanish,67,54,11,2.92 - 3.55,2.80 - 3.47,81%,20%,
Arts & Humanities,College Of Humanities & social sci,"Theatre, film and digital production",356,273,40,3.12 - 3.68,2.94 - 3.57,77%,15%,
Business,College Of Humanities & social sci,Pre-business administration,37,34,29,3.13 - 3.59,2.96 - 3.48,92%,85%,
Business,School Of Business administration,Business administration,"1,807","1,135",271,3.20 - 3.81,3.01 - 3.62,63%,24%,
Computer Science,College Of Engineering,Computer science,"1,340",509,146,3.51 - 3.88,3.26 - 3.75,38%,29%,
Computer Science,College Of Engineering,Data science,38,24,6,3.21 - 3.59,3.10 - 3.70,63%,25%,
Computer Science,College Of Engineering,Information sciences,173,61,18,3.30 - 3.79,3.25 - 3.55,35%,30%,
Computer Science,College Of Natural & agricultural sci,Data science,14,11,5,3.30 - 3.67,3.25 - 3.59,79%,45%,
Education,School Of Education,"Education, society, and human development",209,148,32,3.15 - 3.74,3.00 - 3.57,71%,22%,
Engineering,College Of Engineering,Bioengineering,112,56,14,3.18 - 3.73,2.99 - 3.38,50%,25%,
Engineering,College Of Engineering,Chemical engineering,115,71,21,3.16 - 3.70,2.90 - 3.40,62%,30%,
Engineering,College Of Engineering,Computer engineering,215,106,14,3.32 - 3.69,3.39 - 3.55,49%,13%,
Engineering,College Of Engineering,Electrical engineering,246,109,25,3.15 - 3.57,3.02 - 3.37,44%,23%,
Engineering,College Of Engineering,Environmental engineering,65,28,6,3.08 - 3.71,2.94 - 3.33,43%,21%,
Engineering,College Of Engineering,Materials science & engineering,38,26,5,3.02 - 3.58,3.00 - 3.07,68%,19%,
Engineering,College Of Engineering,Mechanical engineering,451,163,49,3.12 - 3.67,2.97 - 3.35,36%,30%,
Life Sciences,College Of Humanities & social sci,Neuroscience,57,34,8,3.10 - 3.72,3.02 - 3.33,60%,24%,
Life Sciences,College Of Natural & agricultural sci,Biochemistry,239,146,49,3.04 - 3.76,2.87 - 3.32,61%,34%,
Life Sciences,College Of Natural & agricultural sci,Biology,"1,177",612,159,3.09 - 3.71,2.91 - 3.34,52%,26%,
Life Sciences,College Of Natural & agricultural sci,"Cell, molecular, & developmental biology",176,115,26,3.08 - 3.78,2.89 - 3.46,65%,23%,
Life Sciences,College Of Natural & agricultural sci,Entomology,17,12,4,3.13 - 3.48,masked,71%,33%,
Life Sciences,College Of Natural & agricultural sci,Environmental science,128,45,13,3.10 - 3.65,2.90 - 3.47,35%,29%,
Life Sciences,College Of Natural & agricultural sci,Microbiology,102,57,16,3.06 - 3.51,2.88 - 3.46,56%,28%,
Life Sciences,College Of Natural & agricultural sci,Neuroscience,162,96,20,3.16 - 3.78,2.83 - 3.31,59%,21%,
Life Sciences,College Of Natural & agricultural sci,Plant biology,41,18,4,3.14 - 3.44,masked,44%,22%,
Other/Interdisciplinary,College Of Humanities & social sci,Global studies,99,85,11,2.92 - 3.54,2.37 - 2.88,86%,13%,
Other/Interdisciplinary,College Of Humanities & social sci,Sustainability studies,19,15,3,2.98 - 3.53,masked,79%,20%,
Physical Sciences/Math,College Of Natural & agricultural sci,Chemistry,199,118,17,3.02 - 3.61,2.72 - 3.13,59%,14%,
Physical Sciences/Math,College Of Natural & agricultural sci,Geology,27,12,6,3.01 - 3.62,3.00 - 3.56,44%,50%,
Physical Sciences/Math,College Of Natural & agricultural sci,Mathematics,288,210,35,3.13 - 3.67,2.88 - 3.33,73%,17%,
Physical Sciences/Math,College Of Natural & agricultural sci,Mathematics for secondary school,41,26,6,3.24 - 3.80,2.96 - 3.68,63%,23%,
Physical Sciences/Math,College Of Natural & agricultural sci,Physics,122,77,11,3.03 - 3.77,2.97 - 3.47,63%,14%,
Physical Sciences/Math,College Of Natural & agricultural sci,Statistics,89,64,12,3.25 - 3.88,2.98 - 3.49,72%,19%,
Public Admin,College Of Humanities & social sci,Public service - political science,59,43,12,2.80 - 3.57,2.50 - 3.40,73%,28%,
Public Admin,School Of Public policy,Public policy,126,97,22,2.94 - 3.56,2.78 - 3.40,77%,23%,
Social Sciences,College Of Humanities & social sci,African-american studies,28,20,4,2.87 - 3.60,masked,71%,20%,
Social Sciences,College Of Humanities & social sci,Anthropology,215,173,38,2.98 - 3.63,2.79 - 3.47,80%,22%,
Social Sciences,College Of Humanities & social sci,Business economics,527,402,57,3.16 - 3.75,2.90 - 3.58,76%,14%,
Social Sciences,College Of Humanities & social sci,Chicano studies,45,36,6,2.90 - 3.39,2.82 - 3.26,80%,17%,
Social Sciences,College Of Humanities & social sci,Economics,548,444,72,3.07 - 3.70,2.85 - 3.38,81%,16%,
Social Sciences,College Of Humanities & social sci,Economics/administrative studies,67,52,9,3.00 - 3.67,2.90 - 3.71,78%,17%,
Social Sciences,College Of Humanities & social sci,Gender and sexuality studies,45,38,5,3.07 - 3.73,2.98 - 3.11,84%,13%,
Social Sciences,College Of Humanities & social sci,Political science,485,396,78,3.10 - 3.77,2.70 - 3.27,82%,20%,
Social Sciences,College Of Humanities & social sci,Political science / international studies,124,91,21,2.91 - 3.52,2.60 - 3.35,73%,23%,
Social Sciences,College Of Humanities & social sci,Political science/administration studies,28,22,4,3.14 - 3.81,masked,79%,18%,
Social Sciences,College Of Humanities & social sci,Psychology,"1,312",600,154,3.20 - 3.75,3.02 - 3.59,46%,26%,
Social Sciences,College Of Humanities & social sci,Sociology,"1,093",893,189,3.02 - 3.66,2.89 - 3.35,82%,21%,
Social Sciences,College Of Humanities & social sci,Sociology/administration studies,78,65,16,2.78 - 3.42,2.69 - 3.20,83%,25%,
