Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Humanities & social sci,Art History,65,45,5,3.16 - 3.67,3.18 - 3.40,69%,11%,
Arts & Humanities,College Of Humanities & social sci,Creative Writing,75,57,18,2.90 - 3.75,2.82 - 3.53,76%,32%,
Arts & Humanities,College Of Humanities & social sci,Dance,17,15,4,3.02 - 3.59,redacted,88%,27%,
Arts & Humanities,College Of Humanities & social sci,English,241,202,34,3.17 - 3.76,3.17 - 3.73,84%,17%,
Arts & Humanities,College Of Humanities & social sci,History,169,138,31,3.02 - 3.74,2.79 - 3.64,82%,22%,
Arts & Humanities,College Of Humanities & social sci,Japanese Language & Literature,23,20,3,3.25 - 3.77,redacted,87%,15%,
Arts & Humanities,College Of Humanities & social sci,Liberal Studies,77,57,19,3.16 - 3.75,3.08 - 3.46,74%,33%,
Arts & Humanities,College Of Humanities & social sci,Linguistics,51,42,6,3.03 - 3.77,2.87 - 3.13,82%,14%,
Arts & Humanities,College Of Humanities & social sci,Media and Cultural Studies,119,98,17,3.08 - 3.71,2.73 - 3.33,82%,17%,
Arts & Humanities,College Of Humanities & social sci,Music,64,40,5,3.14 - 3.83,2.90 - 3.93,63%,13%,
Arts & Humanities,College Of Humanities & social sci,Music & Culture,11,8,3,2.86 - 3.64,redacted,73%,38%,
Arts & Humanities,College Of Humanities & social sci,Philosophy,120,103,10,3.08 - 3.83,2.85 - 3.14,86%,10%,
Arts & Humanities,College Of Humanities & social sci,Spanish,40,32,4,2.77 - 3.64,redacted,80%,13%,
Arts & Humanities,College Of Humanities & social sci,"Theatre, Film and Digital Production",312,247,35,3.18 - 3.79,3.20 - 3.68,79%,14%,
Computer Science,College Of Engineering,Computer Science With Business Applications,138,45,11,3.64 - 3.97,3.43 - 3.80,33%,24%,
Computer Science,College Of Engineering,Data Science,204,63,10,3.69 - 3.95,3.27 - 3.79,31%,16%,
Education,School Of Education,"Education, Society, and Human Development",237,174,52,3.08 - 3.72,2.89 - 3.64,73%,30%,
Engineering,College Of Engineering,Bioengineering,72,36,5,3.44 - 3.90,2.89 - 3.45,50%,14%,
Engineering,College Of Engineering,Chemical Engineering,85,50,16,3.25 - 3.82,3.11 - 3.72,59%,32%,
Engineering,College Of Engineering,Computer Engineering,204,69,16,3.68 - 3.96,3.39 - 3.79,34%,23%,
Engineering,College Of Engineering,Electrical Engineering,214,90,13,3.42 - 3.84,3.22 - 3.67,42%,14%,
Engineering,College Of Engineering,Environmental Engineering,46,17,6,3.17 - 3.50,3.20 - 3.73,37%,35%,
Engineering,College Of Engineering,Mechanical Engineering,390,89,14,3.31 - 3.77,3.28 - 3.75,23%,16%,
Life Sciences,College Of Humanities & social sci,Neuroscience,56,20,4,3.25 - 3.70,redacted,36%,20%,
Life Sciences,College Of Natural & agricultural sci,Biochemistry,155,92,15,3.18 - 3.86,2.84 - 3.61,59%,16%,
Life Sciences,College Of Natural & agricultural sci,"Cell, Molecular, & Developmental Biology",130,75,6,3.18 - 3.86,2.96 - 3.54,58%,8%,
Life Sciences,College Of Natural & agricultural sci,Entomology,10,6,3,3.25 - 3.69,redacted,60%,50%,
Life Sciences,College Of Natural & agricultural sci,Environmental Science,83,24,5,3.12 - 3.64,3.10 - 3.22,29%,21%,
Life Sciences,College Of Natural & agricultural sci,Microbiology,59,34,7,3.09 - 3.74,2.66 - 3.28,58%,21%,
Life Sciences,College Of Natural & agricultural sci,Neuroscience,109,65,24,3.03 - 3.67,3.00 - 3.37,60%,37%,
Other/Interdisciplinary,College Of Humanities & social sci,Global Studies,65,53,7,3.05 - 3.52,2.66 - 3.05,82%,13%,
Physical Sciences/Math,College Of Natural & agricultural sci,Chemistry,125,80,20,3.18 - 3.75,3.22 - 3.46,64%,25%,
Physical Sciences/Math,College Of Natural & agricultural sci,Mathematics,176,131,15,3.20 - 3.74,3.08 - 3.68,74%,11%,
Physical Sciences/Math,College Of Natural & agricultural sci,Mathematics for Secondary School,15,8,3,2.74 - 3.55,redacted,53%,38%,
Physical Sciences/Math,College Of Natural & agricultural sci,Physics,96,65,9,3.06 - 3.54,2.81 - 3.30,68%,14%,
Physical Sciences/Math,College Of Natural & agricultural sci,Statistics,50,35,3,3.22 - 3.85,redacted,70%,9%,
Public Admin,College Of Humanities & social sci,Public Service - Political Science,65,54,7,3.08 - 3.68,2.63 - 3.47,83%,13%,
Public Admin,School Of Public policy,Public Policy,116,88,14,3.07 - 3.68,3.25 - 3.61,76%,16%,
Social Sciences,College Of Humanities & social sci,African-American Studies,22,15,3,2.62 - 3.54,redacted,68%,20%,
Social Sciences,College Of Humanities & social sci,Anthropology,132,105,15,3.04 - 3.72,2.83 - 3.59,80%,14%,
Social Sciences,College Of Humanities & social sci,Economics,360,289,29,3.30 - 3.81,2.90 - 3.50,80%,10%,
Social Sciences,College Of Humanities & social sci,Economics/Administrative Studies,45,28,5,3.19 - 3.83,2.56 - 3.13,62%,18%,
Social Sciences,College Of Humanities & social sci,Ethnic Studies,18,15,3,3.20 - 3.87,redacted,83%,20%,
Social Sciences,College Of Humanities & social sci,Political Science / International Studies,74,64,9,3.02 - 3.74,2.57 - 3.60,86%,14%,
Social Sciences,College Of Humanities & social sci,Sociology/Administration Studies,54,40,7,3.23 - 3.64,2.84 - 3.50,74%,18%,
Undeclared,College Of Natural & agricultural sci,Undeclared - Life Science,15,6,3,2.90 - 3.95,redacted,40%,50%,
