Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Letters & science,Art - studio,251,170,32,3.28 - 3.82,3.20 - 3.78,68%,19%,
Arts & Humanities,College Of Letters & science,Art history,133,93,13,3.30 - 3.88,3.25 - 3.69,70%,14%,
Arts & Humanities,College Of Letters & science,Chinese,23,18,3,3.10 - 3.64,masked,78%,17%,
Arts & Humanities,College Of Letters & science,Dance,22,7,3,2.95 - 3.65,masked,32%,43%,
Arts & Humanities,College Of Letters & science,English,554,391,71,3.33 - 3.81,3.16 - 3.63,71%,18%,
Arts & Humanities,College Of Letters & science,Film studies,367,233,61,3.26 - 3.80,3.16 - 3.66,63%,26%,
Arts & Humanities,College Of Letters & science,History,387,277,46,3.33 - 3.83,3.16 - 3.69,72%,17%,
Arts & Humanities,College Of Letters & science,History of public policy and law,34,20,3,3.40 - 3.81,masked,59%,15%,
Arts & Humanities,College Of Letters & science,Japanese,55,31,4,3.41 - 3.74,masked,56%,13%,
Arts & Humanities,College Of Letters & science,Linguistics,161,108,10,3.32 - 3.87,3.07 - 3.33,67%,9%,
Arts & Humanities,College Of Letters & science,Music,63,35,5,3.45 - 3.83,3.50 - 3.84,56%,14%,
Arts & Humanities,College Of Letters & science,Philosophy,256,188,17,3.33 - 3.82,3.01 - 3.33,73%,9%,
Arts & Humanities,College Of Letters & science,Spanish,59,36,7,3.24 - 3.69,3.12 - 3.65,61%,19%,
Arts & Humanities,College Of Letters & science,Theater,198,133,24,3.24 - 3.81,3.03 - 3.64,67%,18%,
Business,College Of Letters & science,Actuarial science,93,75,23,3.54 - 3.96,3.45 - 3.67,81%,31%,
Computer Science,College Of Engineering,Computer science,"1,330",124,11,3.88 - 4.00,3.67 - 3.96,9%,9%,
Engineering,College Of Engineering,Chemical engineering,671,104,7,3.79 - 4.00,3.51 - 3.82,15%,7%,
Engineering,College Of Engineering,Computer engineering,221,46,6,3.71 - 3.94,3.52 - 3.76,21%,13%,
Engineering,College Of Engineering,Electrical engineering,265,64,7,3.62 - 3.90,3.51 - 3.83,24%,11%,
Life Sciences,College Of Letters & science,Biological sciences,"1,790",874,149,3.36 - 3.82,3.22 - 3.64,49%,17%,
Life Sciences,College Of Letters & science,Environmental studies,301,189,50,3.28 - 3.72,3.21 - 3.57,63%,26%,
Other/Interdisciplinary,College Of Letters & science,Communication studies,"1,591","1,096",409,3.30 - 3.81,3.18 - 3.67,69%,37%,
Other/Interdisciplinary,College Of Letters & science,Global studies,319,233,48,3.15 - 3.72,3.11 - 3.58,73%,21%,
Physical Sciences/Math,College Of Letters & science,Chemistry,358,240,46,3.34 - 3.86,3.10 - 3.54,67%,19%,
Physical Sciences/Math,College Of Letters & science,Financial mathematics & statistics,178,128,37,3.39 - 3.88,3.26 - 3.58,72%,29%,
Physical Sciences/Math,College Of Letters & science,Geology,88,53,11,3.23 - 3.79,2.96 - 3.42,60%,21%,
Physical Sciences/Math,College Of Letters & science,Mathematical sciences,111,86,11,3.42 - 3.89,3.39 - 3.78,77%,13%,
Physical Sciences/Math,College Of Letters & science,Mathematics,451,331,50,3.41 - 3.88,3.15 - 3.73,73%,15%,
Physical Sciences/Math,College Of Letters & science,Physics,293,199,54,3.29 - 3.84,3.09 - 3.71,68%,27%,
Physical Sciences/Math,College Of Letters & science,Statistics and data science,474,393,82,3.40 - 3.89,3.25 - 3.70,83%,21%,
Social Sciences,College Of Letters & science,Anthropology,446,318,55,3.30 - 3.80,3.18 - 3.57,71%,17%,
Social Sciences,College Of Letters & science,Asian studies,100,61,5,3.12 - 3.78,2.59 - 2.90,61%,8%,
Social Sciences,College Of Letters & science,Biopsychology,299,217,54,3.28 - 3.75,3.14 - 3.65,73%,25%,
Social Sciences,College Of Letters & science,Chicano studies,58,31,7,2.93 - 3.58,3.02 - 3.23,53%,23%,
Social Sciences,College Of Letters & science,Economics,"1,871","1,175",245,3.40 - 3.87,3.24 - 3.62,63%,21%,
Social Sciences,College Of Letters & science,Economics and accounting,"1,163",789,192,3.48 - 3.88,3.31 - 3.77,68%,24%,
Social Sciences,College Of Letters & science,Feminist studies,76,49,6,3.40 - 3.80,3.44 - 3.63,64%,12%,
Social Sciences,College Of Letters & science,Geography,87,55,9,3.24 - 3.82,3.37 - 3.71,63%,16%,
Social Sciences,College Of Letters & science,Political science,"1,070",759,150,3.31 - 3.84,3.12 - 3.62,71%,20%,
Social Sciences,College Of Letters & science,Psychological and brain science,"1,028",719,196,3.31 - 3.82,3.16 - 3.63,70%,27%,
Social Sciences,College Of Letters & science,Sociology,"1,428",967,216,3.28 - 3.81,3.08 - 3.59,68%,22%,
