Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Letters & science,Art - Studio,143,105,24,3.35 - 3.88,3.40 - 3.68,73%,23%,
Arts & Humanities,College Of Letters & science,Art History,169,123,16,3.30 - 3.90,3.06 - 3.62,73%,13%,
Arts & Humanities,College Of Letters & science,"Comparative Studies - Language, Society, & Culture",24,19,5,3.44 - 3.86,3.75 - 3.94,79%,26%,
Arts & Humanities,College Of Letters & science,History,320,256,32,3.43 - 3.96,3.27 - 3.81,80%,13%,
Arts & Humanities,College Of Letters & science,History of Public Policy and Law,66,42,7,3.31 - 3.82,3.10 - 3.59,64%,17%,
Arts & Humanities,College Of Letters & science,Japanese,19,13,4,3.21 - 3.76,redacted,68%,31%,
Arts & Humanities,College Of Letters & science,Linguistics,150,110,8,3.47 - 3.99,3.46 - 3.60,73%,7%,
Arts & Humanities,College Of Letters & science,Music,61,34,5,3.42 - 3.84,3.37 - 3.73,56%,15%,
Arts & Humanities,College Of Letters & science,Philosophy,274,207,22,3.42 - 3.88,3.28 - 3.75,76%,11%,
Arts & Humanities,College Of Letters & science,Theater,141,96,16,3.28 - 3.80,3.14 - 3.71,68%,17%,
Business,College Of Letters & science,Actuarial Science,54,43,11,3.45 - 3.90,3.43 - 3.70,80%,26%,
Computer Science,College Of Engineering,Computer Science,"1,384",182,16,3.92 - 4.00,3.89 - 4.00,13%,9%,
Engineering,College Of Engineering,Chemical Engineering,629,132,11,3.75 - 3.96,3.69 - 3.87,21%,8%,
Engineering,College Of Engineering,Computer Engineering,258,84,7,3.74 - 3.96,3.80 - 3.95,33%,8%,
Engineering,College Of Engineering,Electrical Engineering,311,124,16,3.67 - 3.96,3.64 - 3.92,40%,13%,
Life Sciences,College Of Letters & science,Environmental Studies,274,204,69,3.33 - 3.86,3.27 - 3.82,74%,34%,
Other/Interdisciplinary,College Of Letters & science,Global Studies,191,148,14,3.40 - 3.84,3.28 - 3.70,77%,9%,
Physical Sciences/Math,College Of Letters & science,Applied Mathematics,270,221,18,3.59 - 3.94,2.99 - 3.82,82%,8%,
Physical Sciences/Math,College Of Letters & science,Financial Mathematics & Statistics,114,89,21,3.43 - 3.96,3.05 - 3.81,78%,24%,
Physical Sciences/Math,College Of Letters & science,Geology,80,52,8,3.45 - 3.77,3.50 - 3.59,65%,15%,
Physical Sciences/Math,College Of Letters & science,Mathematics,279,206,21,3.47 - 3.91,3.43 - 3.80,74%,10%,
Physical Sciences/Math,College Of Letters & science,Physics,181,54,8,3.64 - 3.99,3.43 - 3.71,30%,15%,
Social Sciences,College Of Letters & science,Anthropology,288,211,22,3.34 - 3.89,3.10 - 3.83,73%,10%,
Social Sciences,College Of Letters & science,Biopsychology,270,205,46,3.39 - 3.95,3.21 - 3.67,76%,22%,
Social Sciences,College Of Letters & science,Geography,91,72,17,3.26 - 3.85,3.28 - 3.66,79%,24%,
Social Sciences,College Of Letters & science,Physical Geography,21,15,3,3.33 - 3.67,redacted,71%,20%,
