Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Arts Division,Art,119,74,21,3.21 - 3.71,3.12 - 3.40,62%,28%,
Arts & Humanities,Humanities Division,Art history,67,50,8,3.14 - 3.62,3.23 - 3.71,75%,16%,
Arts & Humanities,Arts Division,Film and digital media,240,133,32,3.12 - 3.62,2.94 - 3.45,55%,24%,
Arts & Humanities,Humanities Division,History,251,167,50,3.04 - 3.61,2.83 - 3.51,67%,30%,
Arts & Humanities,Humanities Division,Language studies,100,63,17,3.10 - 3.68,3.00 - 3.70,63%,27%,
Arts & Humanities,Humanities Division,Linguistics,80,50,16,3.05 - 3.76,3.09 - 3.47,63%,32%,
Arts & Humanities,Humanities Division,Literature,427,284,75,3.05 - 3.60,2.88 - 3.50,67%,26%,
Arts & Humanities,Arts Division,Music,68,40,13,3.26 - 3.63,3.04 - 3.57,59%,33%,
Arts & Humanities,Humanities Division,Philosophy,200,133,25,3.10 - 3.55,2.81 - 3.30,67%,19%,
Arts & Humanities,Arts Division,Theater arts,87,44,13,3.10 - 3.72,3.13 - 3.74,51%,30%,
Business,Social Sciences Division,Business management - economics,594,359,54,3.06 - 3.54,2.88 - 3.32,60%,15%,
Computer Science,Baskin School of Engineering,Computer science,170,91,31,3.04 - 3.64,2.86 - 3.42,54%,34%,
Computer Science,Baskin School of Engineering,Computer  science: computer game design,66,34,22,3.08 - 3.59,3.04 - 3.46,52%,65%,
Engineering,Baskin School of Engineering,Bioengineering,62,36,6,3.20 - 3.71,2.92 - 3.27,58%,17%,
Engineering,Baskin School of Engineering,Computer engineering,57,26,8,3.13 - 3.75,3.07 - 3.43,46%,31%,
Engineering,Baskin School of Engineering,Electrical engineering,103,63,18,3.10 - 3.62,2.93 - 3.40,61%,29%,
Engineering,Baskin School of Engineering,Robotics engineering bs,25,11,5,2.92 - 3.46,2.85 - 3.32,44%,45%,
Life Sciences,Physical & Biological Sciences Division,Biochemistry- molecular biology,149,102,28,3.07 - 3.69,2.84 - 3.26,68%,27%,
Life Sciences,Physical & Biological Sciences Division,Biology,380,235,52,3.00 - 3.45,2.83 - 3.29,62%,22%,
Life Sciences,Physical & Biological Sciences Division,Ecology & evolution,39,33,13,2.85 - 3.61,2.77 - 3.11,85%,39%,
Life Sciences,Social Sciences Division,Environmental studies,175,111,48,2.98 - 3.53,2.92 - 3.53,63%,43%,
Life Sciences,Social Sciences Division,Environmental studies/biology,28,15,5,2.80 - 3.18,2.68 - 3.01,54%,33%,
Life Sciences,Social Sciences Division,Environmental studies/earth science,15,13,3,3.03 - 3.28,masked,87%,23%,
Life Sciences,Physical & Biological Sciences Division,Health sciences,82,59,16,2.93 - 3.49,2.76 - 3.21,72%,27%,
Life Sciences,Physical & Biological Sciences Division,Marine biology,72,46,25,2.99 - 3.61,2.98 - 3.56,64%,54%,
Life Sciences,Physical & Biological Sciences Division,"Molecular, cell, & developmental biology",83,52,18,2.92 - 3.35,2.85 - 3.18,63%,35%,
Life Sciences,Physical & Biological Sciences Division,Neuroscience,85,52,9,2.97 - 3.47,2.92 - 3.14,61%,17%,
Life Sciences,Physical & Biological Sciences Division,Plant science,23,15,3,2.99 - 3.44,masked,65%,20%,
Other/Interdisciplinary,Social Sciences Division,Cognitive science,72,53,20,3.00 - 3.56,2.76 - 3.46,74%,38%,
Other/Interdisciplinary,Social Sciences Division,Legal studies,78,42,7,3.05 - 3.49,2.90 - 3.18,54%,17%,
Physical Sciences/Math,Physical & Biological Sciences Division,Applied physics,5,5,3,3.00 - 3.15,masked,100%,60%,
Physical Sciences/Math,Physical & Biological Sciences Division,Astrophysics,56,41,8,3.19 - 3.68,2.75 - 3.10,73%,20%,
Physical Sciences/Math,Physical & Biological Sciences Division,Chemistry,230,151,28,2.95 - 3.52,2.69 - 3.12,66%,19%,
Physical Sciences/Math,Physical & Biological Sciences Division,Earth science,61,36,11,3.03 - 3.64,2.78 - 3.12,59%,31%,
Physical Sciences/Math,Physical & Biological Sciences Division,Mathematics,155,111,32,3.10 - 3.73,3.01 - 3.44,72%,29%,
Physical Sciences/Math,Physical & Biological Sciences Division,Physics,84,66,13,3.08 - 3.65,3.22 - 3.49,79%,20%,
Social Sciences,Social Sciences Division,Anthropology,348,249,72,3.07 - 3.64,2.89 - 3.40,72%,29%,
Social Sciences,Social Sciences Division,Economics,409,272,28,3.10 - 3.63,2.84 - 3.33,67%,10%,
Social Sciences,Social Sciences Division,Global economics,65,41,13,3.11 - 3.69,3.06 - 3.54,63%,32%,
Social Sciences,Social Sciences Division,Latin american & latino studies,23,16,4,3.04 - 3.45,masked,70%,25%,
Social Sciences,Social Sciences Division,Latin american & latino studies - sociology,11,7,4,3.18 - 3.41,masked,64%,57%,
Social Sciences,Social Sciences Division,Latin american studies - politics,12,12,4,3.12 - 3.57,masked,100%,33%,
Social Sciences,Social Sciences Division,Politics,368,249,30,3.02 - 3.59,2.80 - 3.36,68%,12%,
Social Sciences,Social Sciences Division,Psychology,885,608,169,3.06 - 3.60,2.92 - 3.43,69%,28%,
Social Sciences,Social Sciences Division,Sociology,553,389,94,3.00 - 3.53,2.86 - 3.47,70%,24%,
Social Sciences,Humanities Division,Women's studies,61,32,10,3.05 - 3.55,2.87 - 3.46,52%,31%,
Undeclared,Undergraduate Education,Undeclared,196,162,11,2.92 - 3.53,2.85 - 3.31,83%,7%,
