Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Humanities Division,Applied Linguistics and Multilingualism,28,21,6,3.08 - 3.88,2.94 - 3.59,75%,29%,
Arts & Humanities,Arts Division,Art,222,165,27,3.09 - 3.82,2.85 - 3.55,74%,16%,
Arts & Humanities,Arts Division,Art and Design: Games and Playable Media,148,86,46,3.18 - 3.81,3.11 - 3.75,58%,53%,
Arts & Humanities,Humanities Division,Art History,77,56,9,3.13 - 3.74,2.75 - 3.80,73%,16%,
Arts & Humanities,Humanities Division,History,194,152,23,3.23 - 3.86,2.83 - 3.52,78%,15%,
Arts & Humanities,Humanities Division,Linguistics,69,55,10,3.26 - 3.78,2.99 - 3.76,80%,18%,
Arts & Humanities,Humanities Division,Literature,337,283,48,3.20 - 3.82,2.99 - 3.62,84%,17%,
Arts & Humanities,Arts Division,Music,68,45,8,3.22 - 3.80,2.62 - 3.53,66%,18%,
Arts & Humanities,Humanities Division,Philosophy,159,130,17,3.02 - 3.75,2.71 - 3.32,82%,13%,
Arts & Humanities,Arts Division,Theater Arts,89,64,5,3.27 - 3.76,3.36 - 3.61,72%,8%,
Computer Science,Baskin School of Engineering,Computer Science: Computer Game Design,205,123,60,3.36 - 3.81,3.18 - 3.61,60%,49%,
Computer Science,Baskin School of Engineering,Technology and Information Management,61,34,10,3.32 - 3.81,3.32 - 3.61,56%,29%,
Education,Social Sciences Division,"Education, Democracy, and Justice",14,14,13,3.05 - 3.53,3.05 - 3.54,100%,93%,
Engineering,Baskin School of Engineering,Computer Engineering,327,244,45,3.36 - 3.87,3.10 - 3.59,75%,18%,
Engineering,Baskin School of Engineering,Electrical Engineering,252,154,11,3.36 - 3.85,2.90 - 3.70,61%,7%,
Engineering,Baskin School of Engineering,Robotics Engineering BS,124,58,5,3.33 - 3.75,3.57 - 3.97,47%,9%,
Life Sciences,Physical & Biological Sciences Division,Biochemistry- Molecular Biology,158,89,12,3.24 - 3.74,3.10 - 3.67,56%,13%,
Life Sciences,Physical & Biological Sciences Division,Ecology & Evolution,61,44,15,3.16 - 3.70,3.16 - 3.62,72%,34%,
Life Sciences,Social Sciences Division,Environmental Studies,124,68,17,3.25 - 3.75,3.31 - 3.70,55%,25%,
Life Sciences,Social Sciences Division,Environmental Studies/Economics,12,8,5,3.23 - 3.69,3.17 - 3.82,67%,63%,
Life Sciences,Physical & Biological Sciences Division,Marine Biology,141,74,22,3.13 - 3.77,3.02 - 3.60,52%,30%,
Life Sciences,Physical & Biological Sciences Division,"Molecular, Cell, & Developmental Biology",96,64,9,3.31 - 3.85,3.06 - 3.61,67%,14%,
Life Sciences,Physical & Biological Sciences Division,Neuroscience,103,40,7,3.11 - 3.76,2.61 - 3.14,39%,18%,
Life Sciences,Physical & Biological Sciences Division,Plant Science,21,10,6,2.99 - 3.49,3.28 - 3.52,48%,60%,
Other Health Science,Physical & Biological Sciences Division,Global and Community Health,23,22,17,2.85 - 3.54,3.00 - 3.56,96%,77%,
Other/Interdisciplinary,Social Sciences Division,Agroecology,9,8,8,3.13 - 3.53,3.13 - 3.53,89%,100%,
Other/Interdisciplinary,Social Sciences Division,Cognitive Science,156,86,15,3.26 - 3.90,3.02 - 3.80,55%,17%,
Other/Interdisciplinary,Social Sciences Division,Legal Studies,147,116,28,3.07 - 3.67,2.84 - 3.71,79%,24%,
Physical Sciences/Math,Physical & Biological Sciences Division,Astrophysics,71,46,14,3.12 - 3.70,3.04 - 3.39,65%,30%,
Physical Sciences/Math,Physical & Biological Sciences Division,Chemistry,150,88,6,3.17 - 3.85,2.96 - 3.19,59%,7%,
Physical Sciences/Math,Physical & Biological Sciences Division,Earth Science,121,104,17,3.07 - 3.71,2.72 - 3.43,86%,16%,
Physical Sciences/Math,Physical & Biological Sciences Division,Mathematics,153,124,8,3.25 - 3.86,2.89 - 3.81,81%,6%,
Physical Sciences/Math,Physical & Biological Sciences Division,Mathematics Theory & Computation,21,20,14,3.06 - 3.47,3.06 - 3.41,95%,70%,
Physical Sciences/Math,Physical & Biological Sciences Division,Physics,76,47,6,3.16 - 3.70,2.91 - 3.19,62%,13%,
Public Admin,Social Sciences Division,Community Studies,101,84,12,3.13 - 3.71,2.98 - 3.96,83%,14%,
Social Sciences,Social Sciences Division,Anthropology,273,222,31,3.11 - 3.80,2.95 - 3.49,81%,14%,
Social Sciences,Humanities Division,Ethnic Studies,30,22,4,3.01 - 3.65,redacted,73%,18%,
Social Sciences,Social Sciences Division,Global Economics,56,33,3,3.23 - 3.86,redacted,59%,9%,
Social Sciences,Humanities Division,Women's Studies,27,18,5,3.20 - 3.84,2.67 - 3.84,67%,28%,
Undeclared,Undergraduate Education,Undeclared,339,200,28,3.17 - 3.85,3.05 - 3.57,59%,14%,
