Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Art history/criticism,55,33,8,3.15 - 3.86,2.99 - 3.40,60%,24%,
Arts & Humanities,Not applicable,Drama,148,89,34,3.40 - 3.87,3.28 - 3.81,60%,38%,
Arts & Humanities,Not applicable,History,232,165,33,3.26 - 3.84,3.00 - 3.54,71%,20%,
Arts & Humanities,Not applicable,Linguistics,103,64,9,3.27 - 3.82,3.17 - 3.58,62%,14%,
Arts & Humanities,Not applicable,Linguistics - languages studies,43,31,12,3.26 - 3.73,3.21 - 3.66,72%,39%,
Arts & Humanities,Not applicable,Linguistics (cognition & language),24,19,4,3.47 - 3.79,masked,79%,21%,
Arts & Humanities,Not applicable,"Literature, english/american",142,103,15,3.26 - 3.84,3.00 - 3.71,73%,15%,
Arts & Humanities,Not applicable,Literature/writing,86,59,18,3.23 - 3.83,3.20 - 3.77,69%,31%,
Arts & Humanities,Not applicable,Music,49,33,11,3.36 - 3.75,3.27 - 3.75,67%,33%,
Arts & Humanities,Not applicable,Philosophy,212,152,25,3.22 - 3.83,2.92 - 3.63,72%,16%,
Arts & Humanities,Not applicable,Speculative design,28,16,6,3.47 - 3.93,3.80 - 3.98,57%,38%,
Arts & Humanities,Not applicable,Studio art,102,59,17,3.28 - 3.81,3.13 - 3.74,58%,29%,
Arts & Humanities,Not applicable,Visual arts - media,200,118,43,3.27 - 3.75,3.38 - 3.81,59%,36%,
Business,Not applicable,Management science,159,74,24,3.51 - 3.90,3.25 - 3.78,47%,32%,
Computer Science,Not applicable,Computer science,"1,465",300,140,3.77 - 4.00,3.70 - 4.00,20%,47%,
Engineering,Not applicable,Aerospace engineering,173,43,8,3.66 - 3.88,3.64 - 3.75,25%,19%,
Engineering,Not applicable,Bioengineering,126,33,18,3.78 - 4.00,3.74 - 4.00,26%,55%,
Engineering,Not applicable,Bioengineering (biotech),56,27,15,3.73 - 3.96,3.71 - 3.92,48%,56%,
Engineering,Not applicable,Bioengineering: biosystems,15,12,3,3.46 - 3.86,masked,80%,25%,
Engineering,Not applicable,Chemical engineering,228,128,51,3.46 - 3.85,3.34 - 3.72,56%,40%,
Engineering,Not applicable,Computer engineering,290,81,29,3.63 - 4.00,3.60 - 3.86,28%,36%,
