Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,School of Social Sciences,Real estate and development,81,58,27,3.43 - 3.76,3.37 - 3.66,72%,47%,
Arts & Humanities,School of Arts & Humanities,Art history/criticism,48,28,6,3.40 - 3.87,3.29 - 3.50,58%,21%,
Arts & Humanities,School of Arts & Humanities,Dance,17,10,3,3.45 - 3.63,masked,59%,30%,
Arts & Humanities,School of Arts & Humanities,Drama,161,105,28,3.39 - 3.80,3.44 - 3.83,65%,27%,
Arts & Humanities,School of Arts & Humanities,History,331,209,30,3.45 - 3.88,3.12 - 3.54,63%,14%,
Arts & Humanities,School of Social Sciences,Linguistics,97,66,18,3.34 - 3.80,3.20 - 3.43,68%,27%,
Arts & Humanities,School of Social Sciences,Linguistics - languages studies,34,20,6,3.49 - 3.87,3.53 - 3.77,59%,30%,
Arts & Humanities,School of Social Sciences,Linguistics (cognition & language),21,12,3,3.31 - 3.73,masked,57%,25%,
Arts & Humanities,School of Arts & Humanities,"Literature, english/american",239,150,22,3.39 - 3.83,3.10 - 3.43,63%,15%,
Arts & Humanities,School of Arts & Humanities,Literature/writing,138,78,19,3.37 - 3.75,3.30 - 3.60,57%,24%,
Arts & Humanities,School of Arts & Humanities,Music,64,31,4,3.27 - 3.72,masked,48%,13%,
Arts & Humanities,School of Arts & Humanities,Philosophy,258,160,27,3.35 - 3.87,3.26 - 3.64,62%,17%,
Arts & Humanities,School of Arts & Humanities,Religious studies,15,12,3,3.41 - 3.94,masked,80%,25%,
Arts & Humanities,School of Arts & Humanities,Studio art,153,75,15,3.43 - 3.89,3.46 - 3.90,49%,20%,
Arts & Humanities,School of Arts & Humanities,Visual arts - media,234,134,51,3.38 - 3.82,3.33 - 3.73,57%,38%,
Arts & Humanities,School of Arts & Humanities,World literature & cultural studies,40,21,3,3.53 - 3.96,masked,53%,14%,
Business,School of Social Sciences,Management science,166,97,33,3.53 - 3.89,3.32 - 3.77,58%,34%,
Computer Science,Jacobs School of Engineering,Computer science,"1,552",310,153,3.83 - 4.00,3.79 - 4.00,20%,49%,
Engineering,Jacobs School of Engineering,Aerospace engineering,163,42,13,3.57 - 3.90,3.38 - 3.78,26%,31%,
Engineering,Jacobs School of Engineering,Bioengineering,119,47,17,3.58 - 3.94,3.65 - 3.93,39%,36%,
Engineering,Jacobs School of Engineering,Bioengineering (biotech),47,24,12,3.43 - 3.86,3.43 - 3.74,51%,50%,
Engineering,Jacobs School of Engineering,Chemical engineering,171,92,30,3.51 - 3.90,3.45 - 3.79,54%,33%,
Engineering,Jacobs School of Engineering,Computer engineering,101,61,25,3.54 - 3.83,3.49 - 3.76,60%,41%,
Engineering,Jacobs School of Engineering,Electrical engineering - bs,395,192,74,3.58 - 3.86,3.48 - 3.72,49%,39%,
Engineering,Jacobs School of Engineering,Engineering physics,28,14,8,3.57 - 3.81,3.48 - 3.75,50%,57%,
Engineering,Jacobs School of Engineering,Environmental engineering,74,41,16,3.44 - 3.81,3.26 - 3.77,55%,39%,
Engineering,Jacobs School of Engineering,Mechanical engineering,443,73,20,3.65 - 4.00,3.43 - 3.86,16%,27%,
Engineering,Jacobs School of Engineering,Nanoengineering,20,12,4,3.44 - 3.69,masked,60%,33%,
Engineering,Jacobs School of Engineering,Structural engineering,145,80,18,3.50 - 3.91,3.46 - 3.56,55%,23%,
Life Sciences,School of Biological Sciences,Biology,623,328,109,3.40 - 3.78,3.34 - 3.71,53%,33%,
Life Sciences,School of Biological Sciences,"Ecology, behavior & evolution",72,37,8,3.28 - 3.77,3.27 - 3.70,51%,22%,
Life Sciences,School of Physical Sciences,Environmental systems - earth sciences,51,32,6,3.36 - 3.78,3.39 - 3.75,63%,19%,
Life Sciences,School of Biological Sciences,"Environmental systems - ecology, behavior, evolution",65,42,14,3.34 - 3.66,3.32 - 3.66,65%,33%,
Life Sciences,School of Physical Sciences,Environmental systems - environmental chemistry,21,13,5,3.19 - 3.59,3.15 - 3.27,62%,38%,
Life Sciences,School of Physical Sciences,Environmental systems - environmental policy,64,31,4,3.22 - 3.66,masked,48%,13%,
Life Sciences,School of Biological Sciences,Human biology,497,264,105,3.38 - 3.86,3.30 - 3.78,53%,40%,
Life Sciences,School of Biological Sciences,Marine biology,100,62,30,3.22 - 3.62,3.26 - 3.71,62%,48%,
Life Sciences,School of Biological Sciences,Microbiology,96,56,25,3.30 - 3.78,3.27 - 3.69,58%,45%,
Life Sciences,School of Biological Sciences,Molecular & cell biology,317,206,61,3.46 - 3.88,3.36 - 3.70,65%,30%,
Life Sciences,School of Biological Sciences,Neurobiology,197,116,39,3.40 - 3.77,3.28 - 3.69,59%,34%,
Life Sciences,School of Physical Sciences,Physics - biophysics,8,4,3,masked,masked,50%,75%,
Other Health Science,Herbert Wertheim School of Public Health,Global health,103,65,37,3.32 - 3.62,3.23 - 3.55,63%,57%,
Other/Interdisciplinary,School of Social Sciences,Cognitive and behavioral neuroscience,75,44,22,3.35 - 3.81,3.31 - 3.68,59%,50%,
Other/Interdisciplinary,School of Social Sciences,Cognitive science,367,276,123,3.31 - 3.74,3.25 - 3.67,75%,45%,
Other/Interdisciplinary,School of Social Sciences,Communication arts,"1,142",663,156,3.40 - 3.85,3.28 - 3.74,58%,24%,
Other/Interdisciplinary,School of Arts & Humanities,Interdisciplinary computer & the arts,18,10,5,3.14 - 3.29,2.96 - 3.26,56%,50%,
Other/Interdisciplinary,School of Social Sciences,International studies - economics,213,131,54,3.38 - 3.74,3.08 - 3.67,62%,41%,
Other/Interdisciplinary,School of Social Sciences,International studies - history,13,12,4,3.44 - 3.78,masked,92%,33%,
Other/Interdisciplinary,School of Social Sciences,International studies - international business,538,333,139,3.44 - 3.84,3.33 - 3.75,62%,42%,
Other/Interdisciplinary,School of Social Sciences,International studies - political science,75,47,19,3.40 - 3.83,3.26 - 3.63,63%,40%,
Other/Interdisciplinary,School of Social Sciences,International studies - sociology,69,46,8,3.70 - 3.96,3.39 - 3.76,67%,17%,
Other/Interdisciplinary,School of Social Sciences,Mathematics - computer science,225,165,70,3.52 - 3.85,3.36 - 3.77,73%,42%,
Physical Sciences/Math,School of Physical Sciences,Applied mathematics,243,158,44,3.52 - 3.93,3.40 - 3.75,65%,28%,
Physical Sciences/Math,School of Physical Sciences,Chemistry,227,147,55,3.28 - 3.78,3.22 - 3.59,65%,37%,
