Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,School of Social Sciences,Real estate and development,72,50,16,3.47 - 3.98,3.50 - 3.80,69%,32%,
Arts & Humanities,School of Arts & Humanities,Art history/criticism,61,45,7,3.42 - 3.88,3.31 - 3.88,74%,16%,
Arts & Humanities,School of Arts & Humanities,Dance,23,17,4,3.34 - 3.89,masked,74%,24%,
Arts & Humanities,School of Arts & Humanities,Drama,152,94,28,3.35 - 3.88,3.18 - 3.77,62%,30%,
Arts & Humanities,School of Arts & Humanities,History,339,252,26,3.46 - 3.91,3.18 - 3.67,74%,10%,
Arts & Humanities,School of Arts & Humanities,"Literature, english/american",262,187,25,3.45 - 3.91,3.54 - 3.77,71%,13%,
Arts & Humanities,School of Arts & Humanities,Literature/writing,170,121,21,3.29 - 3.84,3.14 - 3.82,71%,17%,
Arts & Humanities,School of Arts & Humanities,Music,89,65,11,3.50 - 3.85,3.26 - 3.72,73%,17%,
Arts & Humanities,School of Arts & Humanities,Philosophy,261,198,19,3.39 - 3.91,3.12 - 3.77,76%,10%,
Arts & Humanities,School of Arts & Humanities,Speculative design,75,58,13,3.57 - 3.92,3.57 - 3.92,77%,22%,
Arts & Humanities,School of Arts & Humanities,Studio art,162,115,28,3.32 - 3.89,3.20 - 3.84,71%,24%,
Arts & Humanities,School of Arts & Humanities,Visual arts - media,366,258,69,3.48 - 3.91,3.29 - 3.79,70%,27%,
Arts & Humanities,School of Arts & Humanities,World literature & cultural studies,55,29,9,3.66 - 4.00,3.35 - 3.87,53%,31%,
Business,School of Social Sciences,Business economics,"1,496",814,201,3.58 - 3.94,3.41 - 3.88,54%,25%,
Computer Science,Jacobs School of Engineering,Computer science,"1,441",242,105,3.89 - 4.00,3.86 - 4.00,17%,43%,
Computer Science,School of Computing, Information & Data Sciences,Data science,422,270,86,3.73 - 4.00,3.63 - 3.93,64%,32%,
Education,School of Social Sciences,Education sciences,171,122,23,3.42 - 3.82,3.34 - 3.65,71%,19%,
Engineering,Jacobs School of Engineering,Aerospace engineering,174,46,9,3.82 - 3.97,3.83 - 3.97,26%,20%,
Engineering,Jacobs School of Engineering,Bioengineering,66,15,5,3.87 - 3.99,3.96 - 4.00,23%,33%,
Engineering,Jacobs School of Engineering,Bioengineering (biotech),40,17,12,3.69 - 3.92,3.67 - 3.84,43%,71%,
Engineering,Jacobs School of Engineering,Bioengineering: biosystems,20,13,7,3.65 - 3.89,3.49 - 3.80,65%,54%,
Engineering,Jacobs School of Engineering,Chemical engineering,95,42,11,3.41 - 3.85,3.31 - 3.70,44%,26%,
Engineering,Jacobs School of Engineering,Computer engineering,280,93,36,3.71 - 3.95,3.66 - 3.90,33%,39%,
